step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,0,0.0040,0.0040,0.6,895.0
50176,mppi,0,0.0000,0.0000,0.0,1000.0
100096,pi,0,0.0048,0.0048,1.0,684.4
100096,mppi,0,0.0040,0.0040,0.6666666666666666,820.6666666666666
150016,pi,0,0.0064,0.0064,3.4,758.8
150016,mppi,0,0.0060,0.0060,1.0,575.0
200192,pi,0,0.0012,0.0012,0.2,838.2
200192,mppi,0,0.0013,0.0013,0.3333333333333333,954.6666666666666
250112,pi,0,0.0050,0.0050,0.8,902.2
250112,mppi,0,0.0013,0.0013,0.3333333333333333,958.3333333333334
300032,pi,0,0.0000,0.0000,0.0,1000.0
300032,mppi,0,0.0000,0.0000,0.0,1000.0
350208,pi,0,0.0020,0.0020,1.0,922.2
350208,mppi,0,0.0000,0.0000,0.0,1000.0
400128,pi,0,0.0078,0.0078,0.6,879.4
400128,mppi,0,0.0007,0.0007,0.3333333333333333,989.6666666666666
450048,pi,0,0.0048,0.0048,1.6,751.4
450048,mppi,0,0.0033,0.0033,0.6666666666666666,796.6666666666666
500224,pi,0,0.0000,0.0000,0.0,1000.0
500224,mppi,0,0.0000,0.0000,0.0,1000.0
550144,pi,0,0.0052,0.0052,1.4,712.0
550144,mppi,0,0.0057,0.0057,1.6666666666666667,867.3333333333334
600064,pi,0,0.0008,0.0008,0.2,935.8
600064,mppi,0,0.0033,0.0033,0.6666666666666666,943.3333333333334
650240,pi,0,0.0020,0.0020,0.6,840.8
650240,mppi,0,0.0010,0.0010,0.3333333333333333,979.0
700160,pi,0,0.0018,0.0018,0.6,789.8
700160,mppi,0,0.0000,0.0000,0.0,1000.0
750080,pi,0,0.0042,0.0042,0.8,899.4
750080,mppi,0,0.0027,0.0027,0.3333333333333333,869.3333333333334
800000,pi,0,0.0000,0.0000,0.0,1000.0
800000,mppi,0,0.0000,0.0000,0.0,1000.0
850176,pi,0,0.0000,0.0000,0.0,1000.0
850176,mppi,0,0.0027,0.0027,0.3333333333333333,957.6666666666666
900096,pi,0,0.0022,0.0022,0.4,824.8
900096,mppi,0,0.0000,0.0000,0.0,1000.0
950016,pi,0,0.0008,0.0008,0.4,934.0
950016,mppi,0,0.0013,0.0013,0.3333333333333333,777.0
1000192,pi,0,0.0028,0.0028,0.8,923.8
1000192,mppi,0,0.0000,0.0000,0.0,1000.0
