step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,2,0.0000,0.0000,0.0,1000.0
50176,mppi,2,0.0000,0.0000,0.0,1000.0
100096,pi,2,0.0012,0.0012,0.2,983.4
100096,mppi,2,0.0000,0.0000,0.0,1000.0
150016,pi,2,0.0000,0.0000,0.0,1000.0
150016,mppi,2,0.0000,0.0000,0.0,1000.0
200192,pi,2,0.0000,0.0000,0.0,1000.0
200192,mppi,2,0.0000,0.0000,0.0,1000.0
250112,pi,2,0.0216,0.0216,1.8,733.4
250112,mppi,2,0.0127,0.0127,0.6666666666666666,797.6666666666666
300032,pi,2,0.0190,0.0190,1.8,771.2
300032,mppi,2,0.0000,0.0000,0.0,1000.0
350208,pi,2,0.0068,0.0068,1.0,872.0
350208,mppi,2,0.0000,0.0000,0.0,1000.0
400128,pi,2,0.0094,0.0094,1.0,875.4
400128,mppi,2,0.0000,0.0000,0.0,1000.0
450048,pi,2,0.0180,0.0180,1.6,777.2
450048,mppi,2,0.0197,0.0197,1.3333333333333333,808.6666666666666
500224,pi,2,0.0548,0.0548,3.2,446.8
500224,mppi,2,0.0000,0.0000,0.0,1000.0
