step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,0,0.0000,0.0000,0.0,1000.0
50176,mppi,0,0.0000,0.0000,0.0,1000.0
100096,pi,0,0.0042,0.0042,2.0,242.8
100096,mppi,0,0.0017,0.0017,0.3333333333333333,969.6666666666666
150016,pi,0,0.0006,0.0006,0.4,777.8
150016,mppi,0,0.0220,0.0220,1.0,318.6666666666667
200192,pi,0,0.1322,0.1322,5.0,291.6
200192,mppi,0,0.7197,0.7197,1.0,244.0
250112,pi,0,0.2214,0.2214,1.0,249.2
250112,mppi,0,0.4550,0.4550,2.3333333333333335,243.0
300032,pi,0,0.4378,0.4378,1.6,261.4
300032,mppi,0,0.2933,0.2933,2.3333333333333335,224.0
350208,pi,0,0.7060,0.7060,1.0,229.0
350208,mppi,0,0.7803,0.7803,0.0,219.66666666666666
400128,pi,0,0.0982,0.0982,1.0,213.8
400128,mppi,0,0.7807,0.7807,0.0,219.33333333333334
450048,pi,0,0.0730,0.0730,2.0,211.0
450048,mppi,0,0.6427,0.6427,1.0,224.0
500224,pi,0,0.6872,0.6872,1.0,251.4
500224,mppi,0,0.7473,0.7473,0.0,252.66666666666666
