step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,2,0.0000,0.9960,0.0,1000.0
50176,mppi,2,0.0000,0.9931,0.375,1000.0
100096,pi,2,0.0000,0.9990,0.0,1000.0
100096,mppi,2,0.0000,0.5590,9.875,1000.0
150016,pi,2,0.0000,0.6392,3.4,1000.0
150016,mppi,2,0.0000,0.9385,1.5,1000.0
200192,pi,2,0.0274,0.8750,5.0,434.8
200192,mppi,2,0.2720,0.9890,0.375,188.0
250112,pi,2,0.1828,0.7816,3.4,494.4
250112,mppi,2,0.1443,0.8305,3.125,375.0
300032,pi,2,0.1136,0.9508,2.4,271.6
300032,mppi,2,0.2290,0.8728,3.0,179.125
350208,pi,2,0.4884,0.8990,2.6,309.0
350208,mppi,2,0.3859,0.9485,2.625,145.375
400128,pi,2,0.6332,0.9422,1.8,136.2
400128,mppi,2,0.4009,0.9411,2.0,113.375
450048,pi,2,0.1440,0.7130,4.2,118.2
450048,mppi,2,0.4094,0.8348,5.375,114.375
500224,pi,2,0.5876,0.8432,4.4,367.0
500224,mppi,2,0.8233,0.9691,0.375,119.375
