step,reward,eval_type,seed
50176,48.4,pi,1
50176,176.5,mppi,1
50176,0.6,protomppi,1
100096,61.6,pi,1
100096,19.7,mppi,1
100096,1.6,protomppi,1
150016,344.3,pi,1
150016,389.5,mppi,1
150016,0.4,protomppi,1
200192,313.4,pi,1
200192,386.0,mppi,1
200192,0.3,protomppi,1
250112,0.5,pi,1
250112,3.6,mppi,1
250112,0.5,protomppi,1
300032,494.4,pi,1
300032,445.6,mppi,1
300032,3.5,protomppi,1
350208,539.2,pi,1
350208,476.2,mppi,1
350208,1.3,protomppi,1
400128,532.8,pi,1
400128,566.8,mppi,1
400128,0.3,protomppi,1
450048,634.5,pi,1
450048,588.3,mppi,1
450048,4.0,protomppi,1
