step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,5,0.0000,0.8978,3.8,1000.0
50176,mppi,5,0.0000,0.9903,1.0,1000.0
100096,pi,5,0.0000,0.9978,0.4,1000.0
100096,mppi,5,0.0000,0.8797,3.0,1000.0
150016,pi,5,0.0000,0.0222,3.0,1000.0
150016,mppi,5,0.0000,0.6783,64.33333333333333,1000.0
200192,pi,5,0.0000,0.9838,0.0,1000.0
200192,mppi,5,0.0157,0.9480,0.3333333333333333,497.6666666666667
250112,pi,5,0.0000,0.6288,2.0,1000.0
250112,mppi,5,0.0000,0.0000,0.0,1000.0
300032,pi,5,0.0520,0.5328,10.4,602.8
300032,mppi,5,0.1320,0.9987,0.0,260.3333333333333
350208,pi,5,0.6054,0.9990,0.0,94.6
350208,mppi,5,0.4413,0.9990,0.0,180.0
400128,pi,5,0.8822,0.9990,0.0,85.8
400128,mppi,5,0.7740,0.9990,0.0,118.33333333333333
450048,pi,5,0.8970,0.9990,0.0,98.2
450048,mppi,5,0.0000,0.9990,0.0,1000.0
500224,pi,5,0.0000,0.0456,4.2,1000.0
500224,mppi,5,0.0000,0.5523,41.666666666666664,1000.0
