step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,5,0.2192,0.2192,34.4,10.2
50176,mppi,5,0.0271,0.0271,3.25,134.375
100096,pi,5,0.6462,0.6462,80.8,12.4
100096,mppi,5,0.6966,0.6966,45.625,8.5
150016,pi,5,0.9114,0.9114,43.6,16.8
150016,mppi,5,0.9539,0.9539,27.875,13.625
200192,pi,5,0.8816,0.8816,24.6,13.0
200192,mppi,5,0.9696,0.9696,10.125,9.75
250112,pi,5,0.9856,0.9856,0.8,13.0
250112,mppi,5,0.9868,0.9868,1.5,11.5
300032,pi,5,0.9824,0.9824,3.4,11.6
300032,mppi,5,0.9436,0.9436,25.5,10.25
