step,reward,eval_type,seed
50176,413.4,pi,9
50176,382.1,mppi,9
100096,584.0,pi,9
100096,682.5,mppi,9
150016,715.8,pi,9
150016,916.5,mppi,9
200192,961.2,pi,9
200192,964.5,mppi,9
250112,923.4,pi,9
250112,937.2,mppi,9
300032,944.4,pi,9
300032,956.6,mppi,9
350208,968.2,pi,9
350208,981.9,mppi,9
400128,962.8,pi,9
400128,975.8,mppi,9
450048,962.0,pi,9
450048,979.6,mppi,9
500224,968.2,pi,9
500224,982.9,mppi,9
550144,986.6,pi,9
550144,980.1,mppi,9
600064,975.8,pi,9
600064,985.4,mppi,9
650240,953.6,pi,9
650240,989.0,mppi,9
700160,942.6,pi,9
700160,985.8,mppi,9
750080,975.8,pi,9
750080,984.5,mppi,9
800000,965.2,pi,9
800000,984.6,mppi,9
850176,982.8,pi,9
850176,970.5,mppi,9
900096,975.0,pi,9
900096,985.4,mppi,9
950016,978.8,pi,9
950016,980.6,mppi,9
1000192,979.8,pi,9
1000192,988.8,mppi,9
