step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,24,0.1330,0.1330,15.0,223.0
50176,mppi,24,0.0413,0.0413,5.333333333333333,30.333333333333332
100096,pi,24,0.7400,0.7400,67.6,11.2
100096,mppi,24,0.9423,0.9423,24.333333333333332,11.333333333333334
150016,pi,24,0.8970,0.8970,42.0,15.6
150016,mppi,24,0.9753,0.9753,7.0,13.333333333333334
200192,pi,24,0.9626,0.9626,15.2,15.6
200192,mppi,24,0.9800,0.9800,1.3333333333333333,13.333333333333334
250112,pi,24,0.9504,0.9504,30.8,12.6
250112,mppi,24,0.9913,0.9913,0.6666666666666666,7.666666666666667
300032,pi,24,0.8100,0.8100,56.6,15.0
300032,mppi,24,0.8310,0.8310,46.0,16.0
350208,pi,24,0.9622,0.9622,25.0,6.8
350208,mppi,24,0.9757,0.9757,1.6666666666666667,17.666666666666668
400128,pi,24,0.9376,0.9376,39.4,11.8
400128,mppi,24,0.9823,0.9823,5.0,12.0
450048,pi,24,0.9708,0.9708,13.4,14.4
450048,mppi,24,0.9687,0.9687,17.666666666666668,8.0
500224,pi,24,0.9706,0.9706,16.6,12.0
500224,mppi,24,0.9737,0.9737,10.0,12.666666666666666
