step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,2,0.0390,0.0528,1.6,811.0
250112,mppi,2,0.1033,0.1293,3.3333333333333335,366.3333333333333
500224,pi,2,0.4250,0.6066,8.2,76.6
500224,mppi,2,0.4530,0.8860,11.666666666666666,60.666666666666664
750080,pi,2,0.4592,0.9440,0.6,61.6
750080,mppi,2,0.5037,0.9523,0.3333333333333333,53.0
1000192,pi,2,0.4796,0.9312,0.0,75.8
1000192,mppi,2,0.5173,0.9683,1.3333333333333333,54.333333333333336
1250048,pi,2,0.5144,0.9364,0.0,68.6
1250048,mppi,2,0.5657,0.9490,0.0,54.666666666666664
1500160,pi,2,0.5374,0.9556,0.2,53.0
1500160,mppi,2,0.6047,0.9497,0.0,53.666666666666664
1750016,pi,2,0.6140,0.9378,1.6,52.8
1750016,mppi,2,0.6217,0.9470,0.0,56.666666666666664
