step,reward,eval_type,seed
50176,0.0,pi,2
50176,0.0,mppi,2
100096,0.0,pi,2
100096,0.0,mppi,2
150016,0.0,pi,2
150016,0.0,mppi,2
200192,0.0,pi,2
200192,0.0,mppi,2
250112,0.0,pi,2
250112,0.0,mppi,2
300032,0.0,pi,2
300032,0.0,mppi,2
350208,0.0,pi,2
350208,0.0,mppi,2
400128,0.0,pi,2
400128,0.0,mppi,2
450048,0.0,pi,2
450048,0.0,mppi,2
500224,0.0,pi,2
500224,0.0,mppi,2
550144,0.0,pi,2
550144,0.0,mppi,2
600064,0.0,pi,2
600064,0.0,mppi,2
650240,0.0,pi,2
650240,0.0,mppi,2
700160,0.0,pi,2
700160,0.0,mppi,2
750080,0.0,pi,2
750080,0.0,mppi,2
800000,0.0,pi,2
800000,0.0,mppi,2
850176,0.0,pi,2
850176,0.0,mppi,2
900096,0.0,pi,2
900096,0.0,mppi,2
950016,0.0,pi,2
950016,0.0,mppi,2
1000192,0.0,pi,2
1000192,0.0,mppi,2
