step,reward,eval_type,seed
50176,0.0,pi,1
50176,1.0,mppi,1
100096,0.0,pi,1
100096,0.0,mppi,1
150016,4.2,pi,1
150016,9.0,mppi,1
200192,9.2,pi,1
200192,0.0,mppi,1
250112,0.0,pi,1
250112,0.0,mppi,1
300032,0.0,pi,1
300032,4.0,mppi,1
350208,4.2,pi,1
350208,6.3,mppi,1
400128,0.0,pi,1
400128,0.0,mppi,1
450048,9.4,pi,1
450048,244.7,mppi,1
500224,166.0,pi,1
500224,215.0,mppi,1
550144,0.0,pi,1
550144,96.0,mppi,1
600064,59.6,pi,1
600064,231.3,mppi,1
650240,0.0,pi,1
650240,222.0,mppi,1
700160,351.4,pi,1
700160,561.3,mppi,1
750080,610.0,pi,1
750080,444.3,mppi,1
800000,671.0,pi,1
800000,300.7,mppi,1
850176,726.8,pi,1
850176,618.3,mppi,1
900096,738.6,pi,1
900096,683.0,mppi,1
950016,729.2,pi,1
950016,713.3,mppi,1
1000192,686.6,pi,1
1000192,658.3,mppi,1
