step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,1,0.0000,0.0654,1.8,1000.0
50176,mppi,1,0.0000,0.0641,1.625,1000.0
100096,pi,1,0.0000,0.7090,23.8,1000.0
100096,mppi,1,0.0000,0.8915,8.125,1000.0
150016,pi,1,0.0000,0.5910,17.4,1000.0
150016,mppi,1,0.0000,0.5681,16.125,1000.0
200192,pi,1,0.0000,0.8816,3.6,1000.0
200192,mppi,1,0.0000,0.9355,4.125,1000.0
250112,pi,1,0.0000,0.8792,6.0,1000.0
250112,mppi,1,0.0000,0.8899,8.0,1000.0
300032,pi,1,0.0000,0.7540,16.4,1000.0
300032,mppi,1,0.0000,0.8513,8.625,1000.0
350208,pi,1,0.0000,0.8500,0.8,1000.0
350208,mppi,1,0.0000,0.9871,0.25,1000.0
400128,pi,1,0.0000,0.9672,0.8,1000.0
400128,mppi,1,0.0000,0.9656,2.5,1000.0
450048,pi,1,0.0000,0.9384,4.0,1000.0
450048,mppi,1,0.0000,0.9224,6.625,1000.0
500224,pi,1,0.0000,0.8888,3.6,1000.0
500224,mppi,1,0.0003,0.9514,4.375,981.5
