step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,103,0.0026,0.0110,0.6,808.6
250112,mppi,103,0.0020,0.0041,0.25,877.25
500224,pi,103,0.1612,0.1756,5.2,620.6
500224,mppi,103,0.0471,0.0504,1.75,881.625
750080,pi,103,0.4842,0.5222,11.8,38.8
750080,mppi,103,0.5196,0.5444,11.25,48.75
1000192,pi,103,0.4828,0.6966,7.0,55.6
1000192,mppi,103,0.3796,0.8608,6.0,50.375
1250048,pi,103,0.2760,0.7384,1.8,262.2
1250048,mppi,103,0.0428,0.1044,0.25,882.5
1500160,pi,103,0.6050,0.9540,0.8,39.2
1500160,mppi,103,0.6014,0.9572,0.0,46.0
1750016,pi,103,0.6292,0.9524,0.0,54.2
1750016,mppi,103,0.6766,0.9497,0.0,55.375
2000128,pi,103,0.5882,0.9532,0.0,52.0
2000128,mppi,103,0.6733,0.9561,0.5,42.625
2250240,pi,103,0.5994,0.9440,2.2,41.4
2250240,mppi,103,0.6278,0.9554,1.125,35.625
2500096,pi,103,0.5764,0.9470,0.0,59.8
2500096,mppi,103,0.6545,0.9554,0.125,44.0
2750208,pi,103,0.6122,0.9522,0.0,52.0
2750208,mppi,103,0.6576,0.9537,0.875,48.375
3000064,pi,103,0.6100,0.9552,0.2,54.4
3000064,mppi,103,0.6558,0.9566,0.625,43.5
3250176,pi,103,0.5856,0.9644,0.0,45.0
3250176,mppi,103,0.6442,0.9564,0.375,49.125
3500032,pi,103,0.6166,0.9628,0.2,47.4
3500032,mppi,103,0.6767,0.9589,0.25,48.375
3750144,pi,103,0.6126,0.9600,0.4,43.0
3750144,mppi,103,0.6929,0.9538,0.75,38.125
4000000,pi,103,0.6238,0.9516,0.0,54.2
4000000,mppi,103,0.6964,0.9614,1.5,45.125
4250112,pi,103,0.6230,0.9574,0.0,47.8
4250112,mppi,103,0.6725,0.9586,0.0,46.625
4500224,pi,103,0.5838,0.9584,0.0,46.6
4500224,mppi,103,0.6469,0.9556,0.25,43.625
4750080,pi,103,0.6008,0.9550,0.0,52.4
4750080,mppi,103,0.6704,0.9534,0.0,51.25
5000192,pi,103,0.5858,0.9560,0.6,47.4
5000192,mppi,103,0.6591,0.9501,0.25,48.375
5250048,pi,103,0.6022,0.9526,0.0,51.8
5250048,mppi,103,0.6518,0.9577,0.125,41.375
5500160,pi,103,0.6142,0.9500,0.8,46.6
5500160,mppi,103,0.6595,0.9614,0.125,43.5
5750016,pi,103,0.4874,0.7568,1.0,232.2
5750016,mppi,103,0.6546,0.9517,0.5,42.75
6000128,pi,103,0.6022,0.9464,1.2,35.8
6000128,mppi,103,0.6811,0.9564,0.25,47.625
6250240,pi,103,0.5966,0.9506,0.0,54.2
6250240,mppi,103,0.6760,0.9507,0.5,44.5
6500096,pi,103,0.6044,0.9486,0.2,50.0
6500096,mppi,103,0.5972,0.8345,0.125,169.875
6750208,pi,103,0.5962,0.9570,0.0,47.2
6750208,mppi,103,0.6014,0.9550,0.0,49.25
7000064,pi,103,0.4844,0.7610,0.4,237.8
7000064,mppi,103,0.6250,0.9547,0.125,48.75
7250176,pi,103,0.6232,0.9516,0.2,53.8
7250176,mppi,103,0.6985,0.9535,0.25,45.875
