step,reward,eval_type,seed
50176,1215.2,pi,2
50176,649.4,mppi,2
50176,2016.0,jumpy,2
100096,2418.5,pi,2
100096,1795.4,mppi,2
100096,2563.1,jumpy,2
150016,1862.9,pi,2
150016,2414.5,mppi,2
150016,2099.6,jumpy,2
200192,2513.2,pi,2
200192,1110.7,mppi,2
200192,1993.1,jumpy,2
250112,2389.9,pi,2
250112,1770.4,mppi,2
250112,2292.1,jumpy,2
300032,1242.8,pi,2
300032,489.6,mppi,2
300032,1405.3,jumpy,2
350208,802.1,pi,2
350208,302.7,mppi,2
350208,1408.1,jumpy,2
400128,1136.5,pi,2
400128,260.5,mppi,2
400128,1647.3,jumpy,2
450048,1542.4,pi,2
450048,2460.7,mppi,2
450048,2632.9,jumpy,2
500224,625.8,pi,2
500224,929.4,mppi,2
500224,1266.0,jumpy,2
