step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,2,0.8860,1.0000,0.0,19.8
50176,mppi,2,0.5350,1.0000,0.0,5.333333333333333
100096,pi,2,0.9836,1.0000,0.0,6.0
100096,mppi,2,0.9437,1.0000,0.0,3.0
150016,pi,2,0.9932,1.0000,0.0,6.8
150016,mppi,2,0.9730,1.0000,0.0,10.0
200192,pi,2,0.9304,1.0000,0.0,5.2
200192,mppi,2,0.9920,1.0000,0.0,8.0
250112,pi,2,0.9826,1.0000,0.0,2.4
250112,mppi,2,0.7847,1.0000,0.0,9.0
300032,pi,2,0.7772,1.0000,0.0,11.8
300032,mppi,2,0.2633,1.0000,0.0,334.0
350208,pi,2,0.1842,1.0000,0.0,432.8
350208,mppi,2,0.0333,1.0000,0.0,0.3333333333333333
400128,pi,2,0.5094,1.0000,0.0,274.8
400128,mppi,2,0.0000,1.0000,0.0,1000.0
450048,pi,2,0.4230,1.0000,0.0,400.0
450048,mppi,2,0.6277,1.0000,0.0,372.3333333333333
500224,pi,2,0.3054,1.0000,0.0,687.6
500224,mppi,2,0.3747,1.0000,0.0,17.0
