step,reward,eval_type,seed
50176,468.9,pi,0
50176,850.7,mppi,0
50176,846.8,jumpy,0
100096,1622.7,pi,0
100096,765.1,mppi,0
100096,1722.9,jumpy,0
150016,1651.0,pi,0
150016,1029.1,mppi,0
150016,2513.0,jumpy,0
200192,1851.1,pi,0
200192,1236.1,mppi,0
200192,2505.4,jumpy,0
250112,1829.8,pi,0
250112,1496.1,mppi,0
250112,2379.6,jumpy,0
300032,1499.4,pi,0
300032,1831.7,mppi,0
300032,2734.4,jumpy,0
350208,1591.1,pi,0
350208,1710.9,mppi,0
350208,2217.8,jumpy,0
400128,2299.7,pi,0
400128,1750.1,mppi,0
400128,2198.2,jumpy,0
450048,331.4,pi,0
450048,754.6,mppi,0
450048,2664.8,jumpy,0
500224,813.3,pi,0
500224,735.7,mppi,0
500224,2883.5,jumpy,0
