step,reward,eval_type,seed
50176,0.0,pi,2
50176,0.0,mppi,2
100096,0.0,pi,2
100096,0.0,mppi,2
150016,4.6,pi,2
150016,0.0,mppi,2
200192,0.0,pi,2
200192,0.0,mppi,2
250112,0.0,pi,2
250112,13.7,mppi,2
300032,5.0,pi,2
300032,15.3,mppi,2
350208,5.2,pi,2
350208,12.3,mppi,2
400128,0.0,pi,2
400128,4.7,mppi,2
450048,38.6,pi,2
450048,22.3,mppi,2
500224,83.2,pi,2
500224,59.7,mppi,2
550144,56.2,pi,2
550144,149.3,mppi,2
600064,123.2,pi,2
600064,162.0,mppi,2
650240,112.4,pi,2
650240,107.7,mppi,2
700160,80.4,pi,2
700160,99.3,mppi,2
750080,62.4,pi,2
750080,106.7,mppi,2
800000,103.0,pi,2
800000,217.0,mppi,2
850176,72.2,pi,2
850176,73.3,mppi,2
900096,54.8,pi,2
900096,41.7,mppi,2
950016,162.8,pi,2
950016,100.7,mppi,2
1000192,152.0,pi,2
1000192,150.3,mppi,2
