step,reward,eval_type,seed
50176,102.3,pi,1
50176,43.0,mppi,1
100096,181.6,pi,1
100096,160.1,mppi,1
150016,164.8,pi,1
150016,221.8,mppi,1
200192,206.1,pi,1
200192,134.7,mppi,1
250112,348.7,pi,1
250112,313.9,mppi,1
300032,240.1,pi,1
300032,274.6,mppi,1
350208,364.2,pi,1
350208,237.4,mppi,1
400128,372.4,pi,1
400128,318.6,mppi,1
450048,281.4,pi,1
450048,334.6,mppi,1
500224,376.9,pi,1
500224,307.8,mppi,1
550144,328.3,pi,1
550144,314.0,mppi,1
600064,398.5,pi,1
600064,318.3,mppi,1
650240,304.3,pi,1
650240,331.2,mppi,1
700160,384.5,pi,1
700160,404.5,mppi,1
750080,456.9,pi,1
750080,377.9,mppi,1
800000,392.6,pi,1
800000,401.7,mppi,1
850176,336.7,pi,1
850176,309.6,mppi,1
900096,370.9,pi,1
900096,320.2,mppi,1
950016,317.7,pi,1
950016,312.4,mppi,1
1000192,426.1,pi,1
1000192,392.3,mppi,1
