step,reward,eval_type,seed
50176,0.0,pi,1
50176,0.0,mppi,1
100096,220.0,pi,1
100096,693.3,mppi,1
150016,899.0,pi,1
150016,895.7,mppi,1
200192,834.0,pi,1
200192,899.0,mppi,1
250112,0.0,pi,1
250112,640.3,mppi,1
300032,907.0,pi,1
300032,922.7,mppi,1
350208,895.0,pi,1
350208,899.7,mppi,1
400128,922.0,pi,1
400128,887.0,mppi,1
450048,897.0,pi,1
450048,896.0,mppi,1
500224,916.0,pi,1
500224,873.3,mppi,1
550144,940.0,pi,1
550144,903.7,mppi,1
600064,854.0,pi,1
600064,910.3,mppi,1
650240,887.0,pi,1
650240,925.7,mppi,1
700160,917.0,pi,1
700160,876.0,mppi,1
750080,931.0,pi,1
750080,798.7,mppi,1
800000,945.0,pi,1
800000,925.3,mppi,1
850176,926.0,pi,1
850176,948.7,mppi,1
900096,944.0,pi,1
900096,894.0,mppi,1
950016,907.0,pi,1
950016,908.3,mppi,1
1000192,909.0,pi,1
1000192,558.0,mppi,1
