step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,0,0.0000,0.0000,0.0,1000.0
50176,mppi,0,0.0000,0.0000,0.0,1000.0
100096,pi,0,0.9590,0.9590,0.0,41.0
100096,mppi,0,0.9650,0.9650,0.0,35.0
150016,pi,0,0.9710,0.9710,0.0,29.0
150016,mppi,0,0.9723,0.9723,0.6666666666666666,27.0
200192,pi,0,0.9710,0.9710,0.0,29.0
200192,mppi,0,0.9733,0.9733,0.3333333333333333,26.0
250112,pi,0,0.9710,0.9710,0.0,29.0
250112,mppi,0,0.9700,0.9700,0.0,30.0
300032,pi,0,0.9720,0.9720,1.0,27.0
300032,mppi,0,0.9740,0.9740,0.0,26.0
350208,pi,0,0.9730,0.9730,0.0,27.0
350208,mppi,0,0.9750,0.9750,0.0,25.0
400128,pi,0,0.9710,0.9710,0.0,29.0
400128,mppi,0,0.9623,0.9623,0.0,37.666666666666664
450048,pi,0,0.9750,0.9750,0.0,25.0
450048,mppi,0,0.9740,0.9740,0.0,26.0
500224,pi,0,0.9720,0.9720,0.0,28.0
500224,mppi,0,0.8033,0.8033,0.0,196.66666666666666
