step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,0,0.0000,0.0000,0.0,1000.0
50176,mppi,0,0.0000,0.0000,0.0,1000.0
100096,pi,0,0.0000,0.0000,0.0,1000.0
100096,mppi,0,0.0000,0.0000,0.0,1000.0
150016,pi,0,0.0004,0.0004,0.2,972.8
150016,mppi,0,0.0000,0.0000,0.0,1000.0
200192,pi,0,0.0334,0.0334,3.2,212.8
200192,mppi,0,0.1297,0.1297,5.666666666666667,206.33333333333334
250112,pi,0,0.0000,0.0000,0.0,1000.0
250112,mppi,0,0.4190,0.4190,1.0,577.0
300032,pi,0,0.1978,0.1978,2.8,184.8
300032,mppi,0,0.2217,0.2217,4.0,222.33333333333334
350208,pi,0,0.2856,0.2856,5.0,219.8
350208,mppi,0,0.2080,0.2080,3.0,209.66666666666666
400128,pi,0,0.4224,0.4224,1.0,560.4
400128,mppi,0,0.4420,0.4420,0.6666666666666666,349.6666666666667
450048,pi,0,0.7146,0.7146,0.4,277.4
450048,mppi,0,0.6807,0.6807,0.0,319.3333333333333
500224,pi,0,0.4050,0.4050,13.6,294.8
500224,mppi,0,0.0000,0.0000,0.0,1000.0
