step,reward,eval_type,seed
50176,128.6,pi,5
50176,135.7,mppi,5
100096,188.4,pi,5
100096,144.7,mppi,5
150016,2.2,pi,5
150016,0.0,mppi,5
200192,123.2,pi,5
200192,350.1,mppi,5
250112,45.6,pi,5
250112,116.2,mppi,5
300032,314.1,pi,5
300032,506.3,mppi,5
350208,502.6,pi,5
350208,524.1,mppi,5
400128,511.4,pi,5
400128,484.9,mppi,5
450048,497.2,pi,5
450048,562.8,mppi,5
500224,581.0,pi,5
500224,657.5,mppi,5
550144,590.9,pi,5
550144,658.7,mppi,5
600064,671.5,pi,5
600064,640.6,mppi,5
650240,687.5,pi,5
650240,710.1,mppi,5
700160,726.7,pi,5
700160,726.9,mppi,5
750080,477.9,pi,5
750080,559.4,mppi,5
800000,641.0,pi,5
800000,682.3,mppi,5
850176,689.5,pi,5
850176,601.0,mppi,5
900096,730.4,pi,5
900096,735.2,mppi,5
950016,741.0,pi,5
950016,595.1,mppi,5
1000192,740.6,pi,5
1000192,741.7,mppi,5
