step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,11,0.3962,0.3962,45.2,11.8
50176,mppi,11,0.4200,0.4200,48.666666666666664,12.333333333333334
100096,pi,11,0.5694,0.5694,50.8,9.2
100096,mppi,11,0.5553,0.5553,43.666666666666664,9.0
150016,pi,11,0.6028,0.6028,59.6,10.0
150016,mppi,11,0.6627,0.6627,61.0,10.666666666666666
200192,pi,11,0.6594,0.6594,65.4,12.4
200192,mppi,11,0.6593,0.6593,65.0,14.666666666666666
250112,pi,11,0.6620,0.6620,65.4,12.2
250112,mppi,11,0.6700,0.6700,63.333333333333336,12.333333333333334
300032,pi,11,0.6200,0.6200,58.0,12.8
300032,mppi,11,0.6523,0.6523,59.0,11.666666666666666
350208,pi,11,0.6328,0.6328,61.4,10.2
350208,mppi,11,0.6517,0.6517,61.666666666666664,14.333333333333334
400128,pi,11,0.6440,0.6440,63.6,11.4
400128,mppi,11,0.6547,0.6547,62.333333333333336,9.666666666666666
450048,pi,11,0.6536,0.6536,64.0,14.2
450048,mppi,11,0.6767,0.6767,62.333333333333336,11.333333333333334
500224,pi,11,0.6596,0.6596,65.6,11.6
500224,mppi,11,0.6707,0.6707,63.0,13.666666666666666
550144,pi,11,0.6310,0.6310,61.4,11.0
550144,mppi,11,0.6743,0.6743,62.0,15.0
600064,pi,11,0.6536,0.6536,62.0,10.0
600064,mppi,11,0.6753,0.6753,62.0,11.333333333333334
650240,pi,11,0.6548,0.6548,63.2,10.0
650240,mppi,11,0.6820,0.6820,61.666666666666664,10.666666666666666
700160,pi,11,0.6470,0.6470,63.4,6.6
700160,mppi,11,0.6757,0.6757,62.333333333333336,10.333333333333334
750080,pi,11,0.6630,0.6630,64.0,10.8
750080,mppi,11,0.6820,0.6820,61.666666666666664,7.333333333333333
800000,pi,11,0.6372,0.6372,62.8,10.2
800000,mppi,11,0.6723,0.6723,63.333333333333336,10.0
850176,pi,11,0.6464,0.6464,64.2,13.8
850176,mppi,11,0.6647,0.6647,63.0,15.666666666666666
900096,pi,11,0.6412,0.6412,64.2,13.0
900096,mppi,11,0.6733,0.6733,63.333333333333336,8.666666666666666
950016,pi,11,0.6528,0.6528,61.8,12.4
950016,mppi,11,0.6800,0.6800,62.0,11.0
1000192,pi,11,0.6602,0.6602,64.2,10.6
1000192,mppi,11,0.6780,0.6780,62.333333333333336,9.666666666666666
