step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,27,0.0918,0.0918,15.4,38.4
50176,mppi,27,0.0020,0.0020,0.3333333333333333,675.6666666666666
100096,pi,27,0.5582,0.5582,53.0,12.8
100096,mppi,27,0.5293,0.5293,44.0,15.333333333333334
150016,pi,27,0.6184,0.6184,58.8,16.8
150016,mppi,27,0.6590,0.6590,63.333333333333336,8.666666666666666
200192,pi,27,0.6468,0.6468,64.8,14.0
200192,mppi,27,0.6607,0.6607,66.0,10.333333333333334
250112,pi,27,0.6594,0.6594,65.0,15.8
250112,mppi,27,0.6527,0.6527,63.333333333333336,21.0
300032,pi,27,0.6106,0.6106,59.4,13.8
300032,mppi,27,0.6340,0.6340,56.333333333333336,13.0
350208,pi,27,0.6050,0.6050,59.4,15.8
350208,mppi,27,0.6537,0.6537,59.0,12.666666666666666
400128,pi,27,0.6232,0.6232,61.0,10.8
400128,mppi,27,0.6653,0.6653,60.333333333333336,18.666666666666668
450048,pi,27,0.6080,0.6080,60.4,14.4
450048,mppi,27,0.6457,0.6457,61.333333333333336,14.666666666666666
500224,pi,27,0.6448,0.6448,61.6,11.0
500224,mppi,27,0.6450,0.6450,64.0,13.666666666666666
