step,reward,eval_type,seed
250112,0.0,pi,11
250112,0.4,mppi,11
500224,0.0,pi,11
500224,0.6,mppi,11
750080,5.7,pi,11
750080,0.0,mppi,11
1000192,234.6,pi,11
1000192,282.3,mppi,11
1250048,296.2,pi,11
1250048,300.1,mppi,11
1500160,319.3,pi,11
1500160,322.1,mppi,11
1750016,322.1,pi,11
1750016,285.6,mppi,11
2000128,324.5,pi,11
2000128,341.3,mppi,11
2250240,328.0,pi,11
2250240,323.7,mppi,11
2500096,339.4,pi,11
2500096,289.5,mppi,11
2750208,333.9,pi,11
2750208,352.6,mppi,11
3000064,342.4,pi,11
3000064,341.0,mppi,11
3250176,341.6,pi,11
3250176,304.6,mppi,11
3500032,347.8,pi,11
3500032,352.2,mppi,11
3750144,345.2,pi,11
3750144,358.1,mppi,11
4000000,347.4,pi,11
4000000,358.1,mppi,11
