step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,1,0.0000,0.0210,1.0,1000.0
50176,mppi,1,0.0000,0.0277,1.0,1000.0
100096,pi,1,0.0000,0.0400,1.0,1000.0
100096,mppi,1,0.0000,0.0317,1.0,1000.0
150016,pi,1,0.0000,0.0110,1.0,1000.0
150016,mppi,1,0.0000,0.0290,1.0,1000.0
200192,pi,1,0.0000,0.0530,1.0,1000.0
200192,mppi,1,0.0000,0.0570,1.0,1000.0
250112,pi,1,0.0000,0.0250,1.0,1000.0
250112,mppi,1,0.0000,0.0370,1.0,1000.0
300032,pi,1,0.0000,0.0280,1.0,1000.0
300032,mppi,1,0.0000,0.0503,1.0,1000.0
350208,pi,1,0.0000,0.0220,1.0,1000.0
350208,mppi,1,0.0000,0.0140,1.0,1000.0
400128,pi,1,0.0000,0.0140,1.0,1000.0
400128,mppi,1,0.0000,0.0277,1.0,1000.0
450048,pi,1,0.0000,0.0400,1.0,1000.0
450048,mppi,1,0.0000,0.0530,1.0,1000.0
500224,pi,1,0.0000,0.0290,1.0,1000.0
500224,mppi,1,0.0000,0.0167,1.0,1000.0
550144,pi,1,0.0000,0.0260,1.0,1000.0
550144,mppi,1,0.0000,0.0327,1.0,1000.0
600064,pi,1,0.0000,0.0336,1.4,1000.0
600064,mppi,1,0.0000,0.0423,1.0,1000.0
650240,pi,1,0.0000,0.0210,1.0,1000.0
650240,mppi,1,0.0000,0.0383,1.0,1000.0
700160,pi,1,0.0000,0.0140,1.0,1000.0
700160,mppi,1,0.0000,0.0333,1.0,1000.0
750080,pi,1,0.0000,0.0430,1.0,1000.0
750080,mppi,1,0.0000,0.0237,1.0,1000.0
800000,pi,1,0.0000,0.0280,1.0,1000.0
800000,mppi,1,0.0000,0.0307,1.0,1000.0
850176,pi,1,0.0000,0.0260,1.0,1000.0
850176,mppi,1,0.0000,0.0363,1.0,1000.0
900096,pi,1,0.0000,0.0280,1.0,1000.0
900096,mppi,1,0.0000,0.0280,1.0,1000.0
950016,pi,1,0.0000,0.0280,1.0,1000.0
950016,mppi,1,0.0000,0.0280,1.0,1000.0
1000192,pi,1,0.0000,0.0280,1.0,1000.0
1000192,mppi,1,0.0000,0.0280,1.0,1000.0
1050112,pi,1,0.0000,0.0280,1.0,1000.0
1050112,mppi,1,0.0000,0.0280,1.0,1000.0
1100032,pi,1,0.0000,0.0280,1.0,1000.0
1100032,mppi,1,0.0000,0.0280,1.0,1000.0
1150208,pi,1,0.0000,0.0280,1.0,1000.0
1150208,mppi,1,0.0000,0.0280,1.0,1000.0
1200128,pi,1,0.0000,0.0280,1.0,1000.0
1200128,mppi,1,0.0000,0.0280,1.0,1000.0
1250048,pi,1,0.0000,0.0280,1.0,1000.0
1250048,mppi,1,0.0000,0.0280,1.0,1000.0
1300224,pi,1,0.0000,0.0280,1.0,1000.0
1300224,mppi,1,0.0000,0.0280,1.0,1000.0
1350144,pi,1,0.0000,0.0280,1.0,1000.0
1350144,mppi,1,0.0000,0.0280,1.0,1000.0
1400064,pi,1,0.0000,0.0280,1.0,1000.0
1400064,mppi,1,0.0000,0.0280,1.0,1000.0
1450240,pi,1,0.0000,0.0280,1.0,1000.0
1450240,mppi,1,0.0000,0.0280,1.0,1000.0
1500160,pi,1,0.0000,0.0280,1.0,1000.0
1500160,mppi,1,0.0000,0.0280,1.0,1000.0
