step,reward,eval_type,seed
50176,8.7,pi,0
50176,33.1,mppi,0
50176,36.0,jumpy,0
100096,8.2,pi,0
100096,27.6,mppi,0
100096,34.0,jumpy,0
150016,15.7,pi,0
150016,26.1,mppi,0
150016,26.1,jumpy,0
200192,8.6,pi,0
200192,14.6,mppi,0
200192,31.3,jumpy,0
250112,11.3,pi,0
250112,15.0,mppi,0
250112,37.2,jumpy,0
300032,23.5,pi,0
300032,34.7,mppi,0
300032,33.4,jumpy,0
350208,16.5,pi,0
350208,31.8,mppi,0
350208,38.3,jumpy,0
400128,13.1,pi,0
400128,21.4,mppi,0
400128,38.1,jumpy,0
450048,22.9,pi,0
450048,33.2,mppi,0
450048,29.6,jumpy,0
500224,19.4,pi,0
500224,24.3,mppi,0
500224,48.7,jumpy,0
550144,21.7,pi,0
550144,27.7,mppi,0
550144,49.5,jumpy,0
600064,13.4,pi,0
600064,19.9,mppi,0
600064,39.7,jumpy,0
650240,23.0,pi,0
650240,35.0,mppi,0
650240,48.2,jumpy,0
700160,26.4,pi,0
700160,33.6,mppi,0
700160,47.6,jumpy,0
750080,37.8,pi,0
750080,38.5,mppi,0
750080,49.4,jumpy,0
800000,20.3,pi,0
800000,33.1,mppi,0
800000,53.6,jumpy,0
850176,26.9,pi,0
850176,39.4,mppi,0
850176,39.6,jumpy,0
900096,26.8,pi,0
900096,37.9,mppi,0
900096,42.5,jumpy,0
950016,16.6,pi,0
950016,27.0,mppi,0
950016,38.2,jumpy,0
1000192,26.6,pi,0
1000192,33.4,mppi,0
1000192,42.7,jumpy,0
1050112,18.9,pi,0
1050112,31.1,mppi,0
1050112,29.4,jumpy,0
1100032,19.6,pi,0
1100032,23.5,mppi,0
1100032,31.9,jumpy,0
1150208,27.7,pi,0
1150208,21.2,mppi,0
1150208,43.2,jumpy,0
1200128,26.3,pi,0
1200128,25.1,mppi,0
1200128,44.4,jumpy,0
1250048,30.5,pi,0
1250048,37.7,mppi,0
1250048,31.1,jumpy,0
1300224,26.0,pi,0
1300224,34.9,mppi,0
1300224,35.5,jumpy,0
1350144,34.9,pi,0
1350144,35.8,mppi,0
1350144,40.1,jumpy,0
1400064,28.4,pi,0
1400064,38.1,mppi,0
1400064,35.5,jumpy,0
1450240,13.4,pi,0
1450240,29.0,mppi,0
1450240,38.8,jumpy,0
1500160,44.8,pi,0
1500160,29.8,mppi,0
1500160,36.0,jumpy,0
