step,reward,eval_type,seed
50176,1.5,pi,0
50176,13.0,mppi,0
50176,18.4,jumpy,0
100096,1.9,pi,0
100096,6.4,mppi,0
100096,8.0,jumpy,0
150016,5.8,pi,0
150016,7.1,mppi,0
150016,19.2,jumpy,0
200192,4.2,pi,0
200192,12.5,mppi,0
200192,8.0,jumpy,0
250112,12.7,pi,0
250112,2.9,mppi,0
250112,11.3,jumpy,0
300032,1.9,pi,0
300032,10.0,mppi,0
300032,13.2,jumpy,0
350208,3.2,pi,0
350208,9.3,mppi,0
350208,15.1,jumpy,0
400128,1.9,pi,0
400128,7.4,mppi,0
400128,12.8,jumpy,0
450048,5.3,pi,0
450048,6.0,mppi,0
450048,9.5,jumpy,0
500224,3.0,pi,0
500224,7.4,mppi,0
500224,10.9,jumpy,0
