step,reward,eval_type,seed
50176,1584.1,pi,4
50176,440.4,mppi,4
50176,509.5,jumpy,4
100096,958.2,pi,4
100096,1821.3,mppi,4
100096,2513.5,jumpy,4
150016,763.8,pi,4
150016,2080.8,mppi,4
150016,2196.3,jumpy,4
200192,2095.8,pi,4
200192,2389.6,mppi,4
200192,2755.7,jumpy,4
250112,286.9,pi,4
250112,2025.8,mppi,4
250112,2498.4,jumpy,4
300032,2385.4,pi,4
300032,2320.3,mppi,4
300032,2599.2,jumpy,4
350208,2035.5,pi,4
350208,1042.9,mppi,4
350208,2766.1,jumpy,4
400128,1132.7,pi,4
400128,1028.6,mppi,4
400128,2677.4,jumpy,4
450048,1124.3,pi,4
450048,2115.2,mppi,4
450048,2168.5,jumpy,4
500224,707.7,pi,4
500224,621.6,mppi,4
500224,1925.3,jumpy,4
