step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,4,0.8422,1.0000,0.0,4.2
50176,mppi,4,0.1913,0.9913,1.3333333333333333,11.0
100096,pi,4,0.8516,1.0000,0.0,5.8
100096,mppi,4,0.7553,1.0000,0.0,4.0
150016,pi,4,0.4240,1.0000,0.0,6.0
150016,mppi,4,0.9940,1.0000,0.0,6.0
200192,pi,4,0.9934,1.0000,0.0,6.6
200192,mppi,4,0.9987,1.0000,0.0,1.3333333333333333
250112,pi,4,0.0180,1.0000,0.0,1.6
250112,mppi,4,0.6667,1.0000,0.0,333.3333333333333
300032,pi,4,0.8390,1.0000,0.0,5.2
300032,mppi,4,0.9117,1.0000,0.0,8.666666666666666
350208,pi,4,0.9324,1.0000,0.0,5.0
350208,mppi,4,0.6513,0.9927,0.3333333333333333,12.333333333333334
400128,pi,4,0.9768,1.0000,0.0,2.2
400128,mppi,4,0.9943,1.0000,0.0,5.666666666666667
450048,pi,4,0.7264,1.0000,0.0,254.0
450048,mppi,4,0.9727,1.0000,0.0,27.333333333333332
500224,pi,4,0.3940,1.0000,0.0,9.4
500224,mppi,4,0.4140,1.0000,0.0,3.3333333333333335
