step,reward,eval_type,seed
50176,1180.0,pi,4
50176,447.2,mppi,4
50176,1944.8,jumpy,4
100096,1020.8,pi,4
100096,1097.6,mppi,4
100096,1918.7,jumpy,4
150016,2248.9,pi,4
150016,1416.8,mppi,4
150016,3026.1,jumpy,4
200192,2300.6,pi,4
200192,1699.7,mppi,4
200192,3552.9,jumpy,4
250112,2365.6,pi,4
250112,1846.7,mppi,4
250112,2198.5,jumpy,4
300032,2110.8,pi,4
300032,953.5,mppi,4
300032,2584.7,jumpy,4
350208,2382.1,pi,4
350208,2036.4,mppi,4
350208,3001.2,jumpy,4
400128,2760.1,pi,4
400128,2462.5,mppi,4
400128,2907.6,jumpy,4
450048,2472.0,pi,4
450048,2318.1,mppi,4
450048,3150.6,jumpy,4
500224,2249.7,pi,4
500224,2723.5,mppi,4
500224,3225.8,jumpy,4
