step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,7,0.8416,1.0000,0.0,0.0
50176,mppi,7,0.4570,0.9990,1.0,0.0
100096,pi,7,0.8804,1.0000,0.0,0.0
100096,mppi,7,1.0000,1.0000,0.0,0.0
150016,pi,7,0.8804,0.8926,1.2,0.0
150016,mppi,7,0.9810,1.0000,0.0,0.0
200192,pi,7,0.9780,0.9988,0.8,0.0
200192,mppi,7,0.8720,1.0000,0.0,0.0
250112,pi,7,1.0000,1.0000,0.0,0.0
250112,mppi,7,0.1953,1.0000,0.0,0.0
300032,pi,7,1.0000,1.0000,0.0,0.0
300032,mppi,7,1.0000,1.0000,0.0,0.0
350208,pi,7,1.0000,1.0000,0.0,0.0
350208,mppi,7,0.5587,1.0000,0.0,0.0
400128,pi,7,0.1142,0.8074,9.4,0.0
400128,mppi,7,0.1117,1.0000,0.0,0.0
450048,pi,7,0.9944,1.0000,0.0,0.0
450048,mppi,7,0.2823,0.9873,0.6666666666666666,0.0
500224,pi,7,0.8636,1.0000,0.0,0.0
500224,mppi,7,0.0287,0.9980,0.6666666666666666,0.0
