step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,2,0.0416,1.0000,0.0,0.0
50176,mppi,2,0.1850,1.0000,0.0,0.0
100096,pi,2,0.8206,1.0000,0.0,0.0
100096,mppi,2,0.7790,1.0000,0.0,0.0
150016,pi,2,0.9878,1.0000,0.0,0.0
150016,mppi,2,0.9277,1.0000,0.0,0.0
200192,pi,2,0.8506,1.0000,0.0,0.0
200192,mppi,2,0.7220,1.0000,0.0,0.0
250112,pi,2,0.9992,1.0000,0.0,0.0
250112,mppi,2,1.0000,1.0000,0.0,0.0
300032,pi,2,0.9914,1.0000,0.0,0.0
300032,mppi,2,1.0000,1.0000,0.0,0.0
350208,pi,2,0.9946,1.0000,0.0,0.0
350208,mppi,2,0.6013,1.0000,0.0,0.0
400128,pi,2,1.0000,1.0000,0.0,0.0
400128,mppi,2,1.0000,1.0000,0.0,0.0
450048,pi,2,0.9554,0.9998,0.2,0.0
450048,mppi,2,0.8330,0.9950,1.0,0.0
