step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,2,0.4866,0.8584,2.8,0.0
50176,mppi,2,0.8933,1.0000,0.0,0.0
100096,pi,2,0.9932,1.0000,0.0,0.0
100096,mppi,2,0.9377,1.0000,0.0,0.0
150016,pi,2,1.0000,1.0000,0.0,0.0
150016,mppi,2,0.5940,0.9993,0.6666666666666666,0.0
200192,pi,2,0.4094,1.0000,0.0,0.0
200192,mppi,2,0.9273,1.0000,0.0,0.0
250112,pi,2,0.5930,1.0000,0.0,0.0
250112,mppi,2,0.0080,1.0000,0.0,0.0
300032,pi,2,0.9960,1.0000,0.0,0.0
300032,mppi,2,0.7783,1.0000,0.0,0.0
350208,pi,2,0.7944,1.0000,0.0,0.0
350208,mppi,2,0.6440,1.0000,0.0,0.0
400128,pi,2,0.8024,1.0000,0.0,0.0
400128,mppi,2,0.6690,1.0000,0.0,0.0
450048,pi,2,0.8018,1.0000,0.0,0.0
450048,mppi,2,0.3380,1.0000,0.0,0.0
500224,pi,2,0.6032,1.0000,0.0,0.0
500224,mppi,2,0.9767,1.0000,0.0,0.0
