step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,3,0.0000,0.0000,0.0,1000.0
50176,mppi,3,0.0000,0.0000,0.0,1000.0
100096,pi,3,0.0000,0.0000,0.0,1000.0
100096,mppi,3,0.0000,0.0000,0.0,1000.0
150016,pi,3,0.0492,0.0492,2.4,541.4
150016,mppi,3,0.0363,0.0363,5.333333333333333,170.33333333333334
200192,pi,3,0.0232,0.0232,2.0,161.4
200192,mppi,3,0.1087,0.1087,4.333333333333333,164.33333333333334
250112,pi,3,0.0000,0.0000,0.0,1000.0
250112,mppi,3,0.0000,0.0000,0.0,1000.0
300032,pi,3,0.2530,0.2530,3.0,308.2
300032,mppi,3,0.2367,0.2367,3.0,305.6666666666667
350208,pi,3,0.2052,0.2052,2.0,383.0
350208,mppi,3,0.3923,0.3923,4.0,227.33333333333334
400128,pi,3,0.5476,0.5476,1.0,273.2
400128,mppi,3,0.3137,0.3137,1.6666666666666667,373.3333333333333
450048,pi,3,0.5628,0.5628,5.0,157.6
450048,mppi,3,0.0290,0.0290,6.0,172.0
500224,pi,3,0.7020,0.7020,1.0,155.6
500224,mppi,3,0.0277,0.0277,3.6666666666666665,158.33333333333334
