step,reward,eval_type,seed
50176,12.9,pi,4
50176,74.0,mppi,4
50176,117.6,jumpy,4
100096,159.9,pi,4
100096,205.2,mppi,4
100096,222.8,jumpy,4
150016,0.6,pi,4
150016,320.4,mppi,4
150016,389.1,jumpy,4
200192,274.8,pi,4
200192,360.8,mppi,4
200192,419.2,jumpy,4
250112,395.3,pi,4
250112,506.5,mppi,4
250112,416.6,jumpy,4
300032,416.8,pi,4
300032,396.6,mppi,4
300032,457.3,jumpy,4
350208,523.5,pi,4
350208,505.0,mppi,4
350208,402.4,jumpy,4
400128,666.4,pi,4
400128,499.4,mppi,4
400128,490.1,jumpy,4
450048,583.9,pi,4
450048,501.8,mppi,4
450048,535.9,jumpy,4
500224,753.2,pi,4
500224,700.8,mppi,4
500224,494.2,jumpy,4
