step,reward,eval_type,seed
50176,384.6,pi,2
50176,535.0,mppi,2
50176,2090.0,jumpy,2
100096,2939.6,pi,2
100096,3764.4,mppi,2
100096,4043.2,jumpy,2
150016,275.3,pi,2
150016,957.3,mppi,2
150016,1832.7,jumpy,2
200192,484.6,pi,2
200192,701.4,mppi,2
200192,1132.9,jumpy,2
250112,261.4,pi,2
250112,701.1,mppi,2
250112,1715.6,jumpy,2
300032,2745.9,pi,2
300032,359.2,mppi,2
300032,676.0,jumpy,2
350208,471.4,pi,2
350208,461.7,mppi,2
350208,749.5,jumpy,2
400128,417.1,pi,2
400128,472.2,mppi,2
400128,1349.1,jumpy,2
450048,774.4,pi,2
450048,640.0,mppi,2
450048,1749.9,jumpy,2
500224,358.3,pi,2
500224,351.6,mppi,2
500224,671.0,jumpy,2
