step,reward,eval_type,seed
50176,674.8,pi,7
50176,513.8,mppi,7
50176,1509.9,jumpy,7
100096,1532.5,pi,7
100096,1021.5,mppi,7
100096,2942.4,jumpy,7
150016,1655.3,pi,7
150016,1175.2,mppi,7
150016,2443.7,jumpy,7
200192,2016.1,pi,7
200192,1080.2,mppi,7
200192,2868.2,jumpy,7
250112,1936.1,pi,7
250112,1628.4,mppi,7
250112,2653.6,jumpy,7
300032,2471.2,pi,7
300032,2317.6,mppi,7
300032,2726.8,jumpy,7
350208,2265.2,pi,7
350208,2122.0,mppi,7
350208,3349.8,jumpy,7
400128,1732.4,pi,7
400128,2021.1,mppi,7
400128,2839.4,jumpy,7
450048,2598.0,pi,7
450048,2414.0,mppi,7
450048,2652.4,jumpy,7
500224,2162.0,pi,7
500224,1585.2,mppi,7
500224,2332.2,jumpy,7
