step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,0,0.0000,0.9690,7.0,1000.0
50176,mppi,0,0.0000,0.9763,5.666666666666667,1000.0
100096,pi,0,0.0000,0.9858,2.2,1000.0
100096,mppi,0,0.0000,0.9653,1.6666666666666667,1000.0
150016,pi,0,0.0000,0.9908,1.8,1000.0
150016,mppi,0,0.0000,0.9917,1.6666666666666667,1000.0
200192,pi,0,0.0000,0.9822,4.2,1000.0
200192,mppi,0,0.0000,0.9923,0.3333333333333333,1000.0
250112,pi,0,0.0000,0.9732,4.4,1000.0
250112,mppi,0,0.0000,0.9983,0.6666666666666666,1000.0
300032,pi,0,0.0000,0.9996,0.4,1000.0
300032,mppi,0,0.0000,0.9980,0.6666666666666666,1000.0
350208,pi,0,0.0000,0.9958,0.6,1000.0
350208,mppi,0,0.0000,0.9970,1.0,1000.0
400128,pi,0,0.0000,0.9974,0.8,1000.0
400128,mppi,0,0.0000,0.9900,2.0,1000.0
450048,pi,0,0.0000,0.9968,0.6,1000.0
450048,mppi,0,0.0000,0.9993,0.3333333333333333,1000.0
500224,pi,0,0.0000,0.9912,0.8,1000.0
500224,mppi,0,0.0000,0.9960,0.6666666666666666,1000.0
