step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,3,0.0010,0.0214,0.8,626.6
250112,mppi,3,0.0000,0.0000,0.0,1000.0
500224,pi,3,0.0000,0.0000,0.0,1000.0
500224,mppi,3,0.0000,0.0023,0.3333333333333333,1000.0
750080,pi,3,0.0010,0.0136,0.4,820.8
750080,mppi,3,0.0037,0.0110,0.3333333333333333,682.6666666666666
1000192,pi,3,0.0000,0.0022,0.2,1000.0
1000192,mppi,3,0.0020,0.0030,0.3333333333333333,670.3333333333334
1250048,pi,3,0.0666,0.1894,6.2,621.2
1250048,mppi,3,0.0550,0.0800,5.0,677.6666666666666
1500160,pi,3,0.1460,0.2730,10.6,415.0
1500160,mppi,3,0.0727,0.1580,5.0,685.0
1750016,pi,3,0.0480,0.0914,3.2,812.0
1750016,mppi,3,0.1647,0.3143,10.333333333333334,360.6666666666667
2000128,pi,3,0.1602,0.2732,10.2,429.0
2000128,mppi,3,0.0963,0.1470,6.0,671.3333333333334
2250240,pi,3,0.2214,0.3552,13.4,243.4
2250240,mppi,3,0.1990,0.3087,10.666666666666666,368.3333333333333
2500096,pi,3,0.2390,0.3438,13.8,250.4
2500096,mppi,3,0.3103,0.4610,17.333333333333332,72.0
2750208,pi,3,0.3070,0.4618,16.6,57.4
2750208,mppi,3,0.3173,0.4757,17.666666666666668,43.0
3000064,pi,3,0.2918,0.4652,16.8,58.6
3000064,mppi,3,0.2777,0.4867,15.666666666666666,88.33333333333333
3250176,pi,3,0.3274,0.4492,17.6,41.6
3250176,mppi,3,0.3397,0.4523,17.0,61.333333333333336
3500032,pi,3,0.2970,0.4796,16.0,61.4
3500032,mppi,3,0.3013,0.4550,17.0,74.33333333333333
3750144,pi,3,0.3138,0.4352,17.6,53.4
3750144,mppi,3,0.3190,0.4750,17.0,39.333333333333336
4000000,pi,3,0.2932,0.4772,17.4,38.2
4000000,mppi,3,0.3250,0.4633,17.0,57.666666666666664
4250112,pi,3,0.2922,0.4640,16.8,66.6
4250112,mppi,3,0.3153,0.4780,17.0,49.333333333333336
4500224,pi,3,0.3024,0.4708,17.2,57.2
4500224,mppi,3,0.3267,0.4743,16.666666666666668,44.0
4750080,pi,3,0.3186,0.4410,17.8,38.2
4750080,mppi,3,0.3220,0.4603,17.0,49.666666666666664
5000192,pi,3,0.3178,0.4630,17.0,54.6
5000192,mppi,3,0.3197,0.4507,17.0,53.0
5250048,pi,3,0.3158,0.4558,17.2,54.6
5250048,mppi,3,0.3170,0.4680,17.333333333333332,39.333333333333336
5500160,pi,3,0.3190,0.4464,16.8,53.4
5500160,mppi,3,0.3303,0.4563,18.0,49.333333333333336
5750016,pi,3,0.3114,0.4424,17.2,52.4
5750016,mppi,3,0.3313,0.4550,18.333333333333332,42.0
6000128,pi,3,0.3114,0.4462,17.0,49.2
6000128,mppi,3,0.3183,0.4590,17.333333333333332,46.0
6250240,pi,3,0.3198,0.4350,18.0,56.4
6250240,mppi,3,0.3347,0.4623,18.0,40.0
6500096,pi,3,0.3180,0.4374,18.0,46.6
6500096,mppi,3,0.3340,0.4463,18.0,46.0
6750208,pi,3,0.3172,0.4340,18.0,43.8
6750208,mppi,3,0.3263,0.4467,18.333333333333332,43.666666666666664
7000064,pi,3,0.3256,0.4446,18.2,46.8
7000064,mppi,3,0.3340,0.4503,18.0,43.333333333333336
7250176,pi,3,0.3284,0.4336,18.0,50.2
7250176,mppi,3,0.3387,0.4507,18.333333333333332,36.0
7500032,pi,3,0.3180,0.4474,17.6,40.2
7500032,mppi,3,0.3327,0.4643,17.333333333333332,35.666666666666664
7750144,pi,3,0.3358,0.4382,18.2,40.4
7750144,mppi,3,0.3273,0.4487,17.333333333333332,56.0
8000000,pi,3,0.3242,0.4542,17.8,46.4
8000000,mppi,3,0.3123,0.4367,17.0,58.0
8250112,pi,3,0.3188,0.4222,18.0,49.0
8250112,mppi,3,0.2927,0.3873,16.0,50.666666666666664
8500224,pi,3,0.3232,0.4456,17.6,48.6
8500224,mppi,3,0.3247,0.4323,16.666666666666668,53.0
8750080,pi,3,0.2628,0.3486,14.0,239.4
8750080,mppi,3,0.1980,0.2553,10.333333333333334,364.3333333333333
9000192,pi,3,0.3208,0.4488,17.4,44.8
9000192,mppi,3,0.3153,0.4320,16.666666666666668,45.333333333333336
9250048,pi,3,0.3030,0.4590,17.2,53.8
9250048,mppi,3,0.2967,0.4110,15.666666666666666,44.0
9500160,pi,3,0.3244,0.4504,17.6,43.6
9500160,mppi,3,0.2827,0.3860,15.333333333333334,35.333333333333336
