step,reward,eval_type,seed
250112,0.0,pi,5
250112,0.0,mppi,5
500224,0.0,pi,5
500224,0.0,mppi,5
750080,2.7,pi,5
750080,1.6,mppi,5
1000192,0.0,pi,5
1000192,0.4,mppi,5
1250048,0.0,pi,5
1250048,0.0,mppi,5
1500160,2.9,pi,5
1500160,0.4,mppi,5
1750016,2.8,pi,5
1750016,0.0,mppi,5
2000128,0.5,pi,5
2000128,4.3,mppi,5
2250240,3.8,pi,5
2250240,3.1,mppi,5
2500096,0.0,pi,5
2500096,2.2,mppi,5
2750208,33.4,pi,5
2750208,61.1,mppi,5
3000064,142.1,pi,5
3000064,5.1,mppi,5
3250176,202.0,pi,5
3250176,107.4,mppi,5
3500032,214.4,pi,5
3500032,144.5,mppi,5
3750144,160.6,pi,5
3750144,109.2,mppi,5
4000000,241.3,pi,5
4000000,230.5,mppi,5
4250112,289.1,pi,5
4250112,153.7,mppi,5
4500224,114.5,pi,5
4500224,76.6,mppi,5
4750080,166.9,pi,5
4750080,231.0,mppi,5
5000192,118.4,pi,5
5000192,232.5,mppi,5
5250048,111.3,pi,5
5250048,241.5,mppi,5
5500160,285.1,pi,5
5500160,0.0,mppi,5
5750016,120.0,pi,5
5750016,122.8,mppi,5
6000128,181.3,pi,5
6000128,116.6,mppi,5
6250240,185.9,pi,5
6250240,233.8,mppi,5
