step,reward,eval_type,seed
250112,108.3,pi,1
250112,35.2,mppi,1
500224,199.1,pi,1
500224,206.0,mppi,1
750080,256.2,pi,1
750080,69.6,mppi,1
1000192,266.1,pi,1
1000192,266.9,mppi,1
1250048,273.5,pi,1
1250048,277.6,mppi,1
1500160,270.5,pi,1
1500160,291.2,mppi,1
1750016,284.8,pi,1
1750016,297.1,mppi,1
2000128,273.8,pi,1
2000128,285.8,mppi,1
2250240,287.2,pi,1
2250240,267.0,mppi,1
2500096,286.0,pi,1
2500096,287.7,mppi,1
2750208,276.8,pi,1
2750208,285.2,mppi,1
3000064,284.8,pi,1
3000064,281.5,mppi,1
3250176,282.0,pi,1
3250176,273.3,mppi,1
3500032,288.0,pi,1
3500032,264.6,mppi,1
3750144,291.4,pi,1
3750144,267.6,mppi,1
4000000,279.7,pi,1
4000000,254.1,mppi,1
4250112,290.8,pi,1
4250112,261.4,mppi,1
4500224,288.1,pi,1
4500224,262.0,mppi,1
4750080,293.3,pi,1
4750080,261.6,mppi,1
