step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,4,0.3426,0.4314,20.0,76.6
250112,mppi,4,0.4213,0.5485,23.125,56.375
500224,pi,4,0.3280,0.3536,14.0,427.2
500224,mppi,4,0.5279,0.5636,23.0,48.125
750080,pi,4,0.5190,0.5786,23.0,59.4
750080,mppi,4,0.5006,0.5403,23.375,48.125
1000192,pi,4,0.5456,0.5794,23.2,45.0
1000192,mppi,4,0.5272,0.5570,23.0,56.625
1250048,pi,4,0.5536,0.5924,24.0,42.4
1250048,mppi,4,0.5637,0.5877,23.125,38.5
1500160,pi,4,0.5498,0.5854,23.4,45.4
1500160,mppi,4,0.5569,0.5809,23.125,50.125
1750016,pi,4,0.5460,0.5828,22.6,64.8
1750016,mppi,4,0.5561,0.5864,23.375,42.375
2000128,pi,4,0.5520,0.5900,23.0,46.2
2000128,mppi,4,0.4706,0.5015,22.625,47.5
2250240,pi,4,0.5538,0.6038,23.8,46.6
2250240,mppi,4,0.5545,0.5869,23.125,48.0
2500096,pi,4,0.5586,0.6010,23.4,45.2
2500096,mppi,4,0.5613,0.5906,23.25,40.0
2750208,pi,4,0.5544,0.5892,22.8,53.0
2750208,mppi,4,0.5671,0.5947,23.25,42.875
3000064,pi,4,0.5552,0.5994,23.2,44.2
3000064,mppi,4,0.5597,0.5877,23.125,51.125
3250176,pi,4,0.5510,0.5922,23.0,46.6
3250176,mppi,4,0.5528,0.5882,23.25,41.625
3500032,pi,4,0.5476,0.5872,23.0,53.8
3500032,mppi,4,0.5577,0.5897,23.375,44.75
3750144,pi,4,0.5578,0.5890,23.2,46.0
3750144,mppi,4,0.5555,0.5840,23.25,47.75
4000000,pi,4,0.5564,0.5906,23.0,49.0
4000000,mppi,4,0.5602,0.5974,23.625,44.125
4250112,pi,4,0.5568,0.5908,23.0,52.8
4250112,mppi,4,0.5672,0.5958,23.625,40.75
4500224,pi,4,0.5510,0.5916,22.6,54.4
4500224,mppi,4,0.5690,0.5982,23.5,39.625
4750080,pi,4,0.5610,0.6022,23.0,38.2
4750080,mppi,4,0.5650,0.5970,23.5,40.25
5000192,pi,4,0.5552,0.5920,23.0,49.6
5000192,mppi,4,0.5735,0.5966,23.25,39.25
5250048,pi,4,0.5546,0.5984,23.6,45.2
5250048,mppi,4,0.5725,0.5924,23.375,39.875
5500160,pi,4,0.5544,0.5982,23.0,44.4
5500160,mppi,4,0.4922,0.5216,20.375,160.75
5750016,pi,4,0.5484,0.5946,23.4,50.8
5750016,mppi,4,0.5599,0.5884,23.5,38.5
6000128,pi,4,0.5482,0.5936,24.0,48.6
6000128,mppi,4,0.5690,0.5976,23.125,41.5
6250240,pi,4,0.5538,0.5992,23.0,47.2
6250240,mppi,4,0.5660,0.5949,23.25,40.25
6500096,pi,4,0.5510,0.5988,23.0,46.8
6500096,mppi,4,0.5724,0.5950,23.125,43.375
