step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,1,0.0000,0.0000,0.0,1000.0
250112,mppi,1,0.0000,0.0080,0.625,1000.0
500224,pi,1,0.0802,0.1260,6.0,648.6
500224,mppi,1,0.0440,0.0981,3.625,762.375
750080,pi,1,0.0420,0.0676,3.0,811.8
750080,mppi,1,0.0636,0.0894,4.25,763.25
1000192,pi,1,0.0362,0.0628,3.0,819.2
1000192,mppi,1,0.0259,0.0462,1.75,884.5
1250048,pi,1,0.0488,0.0734,2.8,813.2
1250048,mppi,1,0.1121,0.1890,6.875,533.5
1500160,pi,1,0.1362,0.2336,8.4,436.2
1500160,mppi,1,0.1221,0.2136,7.25,531.375
1750016,pi,1,0.0466,0.0738,3.0,813.2
1750016,mppi,1,0.1476,0.2359,8.75,427.5
2000128,pi,1,0.2062,0.2942,12.2,252.2
2000128,mppi,1,0.1552,0.2398,9.625,403.25
2250240,pi,1,0.1548,0.2138,8.8,422.0
2250240,mppi,1,0.1536,0.2318,8.625,427.875
2500096,pi,1,0.0540,0.0778,3.0,805.0
2500096,mppi,1,0.1531,0.2429,8.75,415.75
2750208,pi,1,0.1462,0.2132,8.4,437.8
2750208,mppi,1,0.1800,0.2990,10.375,300.5
3000064,pi,1,0.0980,0.1510,5.8,613.6
3000064,mppi,1,0.1535,0.2412,9.25,401.625
3250176,pi,1,0.2010,0.3252,11.8,246.2
3250176,mppi,1,0.1573,0.2747,9.0,411.0
3500032,pi,1,0.1014,0.1556,6.2,619.8
3500032,mppi,1,0.1251,0.1780,7.75,519.75
3750144,pi,1,0.1028,0.1576,5.6,625.4
3750144,mppi,1,0.1539,0.2549,8.875,416.125
4000000,pi,1,0.1584,0.2246,8.8,438.0
4000000,mppi,1,0.2014,0.2796,11.625,297.25
4250112,pi,1,0.1426,0.2310,8.8,443.0
4250112,mppi,1,0.1489,0.2460,9.0,414.5
4500224,pi,1,0.1592,0.2458,9.0,414.8
4500224,mppi,1,0.1876,0.3137,10.625,284.125
4750080,pi,1,0.2004,0.3260,11.8,227.4
4750080,mppi,1,0.1570,0.2504,9.5,409.75
5000192,pi,1,0.1002,0.1576,5.8,623.6
5000192,mppi,1,0.1910,0.3164,11.5,290.125
5250048,pi,1,0.1510,0.2350,8.6,432.6
5250048,mppi,1,0.1934,0.3029,11.375,286.375
5500160,pi,1,0.1030,0.1516,5.6,622.8
5500160,mppi,1,0.1950,0.2681,11.75,282.125
5750016,pi,1,0.1526,0.2442,9.0,425.2
5750016,mppi,1,0.1881,0.3264,10.875,288.25
6000128,pi,1,0.2026,0.3008,12.0,247.2
6000128,mppi,1,0.2250,0.3555,12.75,165.375
6250240,pi,1,0.1472,0.2326,8.4,439.0
6250240,mppi,1,0.1575,0.2450,8.75,416.5
6500096,pi,1,0.0998,0.1654,5.8,620.4
6500096,mppi,1,0.1258,0.2015,7.25,527.625
