step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,4,0.0000,0.0000,0.0,1000.0
250112,mppi,4,0.0000,0.0013,0.125,1000.0
500224,pi,4,0.0540,0.0734,4.0,806.0
500224,mppi,4,0.0636,0.0919,4.625,758.75
750080,pi,4,0.1100,0.1586,7.6,619.4
750080,mppi,4,0.1861,0.2406,12.25,397.375
1000192,pi,4,0.2540,0.4736,17.2,45.6
1000192,mppi,4,0.1626,0.2846,10.75,413.125
1250048,pi,4,0.2146,0.3906,13.4,252.6
1250048,mppi,4,0.1290,0.2457,8.5,524.125
1500160,pi,4,0.2860,0.4676,18.2,50.6
1500160,mppi,4,0.1419,0.2338,9.0,529.0
1750016,pi,4,0.2368,0.3314,15.4,246.2
1750016,mppi,4,0.2919,0.4345,18.625,62.75
2000128,pi,4,0.2532,0.3374,15.4,259.0
2000128,mppi,4,0.2294,0.3270,14.5,288.5
2250240,pi,4,0.3124,0.3878,19.4,83.8
2250240,mppi,4,0.3064,0.4127,19.0,67.125
2500096,pi,4,0.2796,0.4612,18.0,50.8
2500096,mppi,4,0.2879,0.4380,18.625,72.125
2750208,pi,4,0.2976,0.4410,18.4,68.0
2750208,mppi,4,0.2834,0.4629,18.0,65.375
3000064,pi,4,0.2956,0.4574,18.6,50.2
3000064,mppi,4,0.2849,0.4517,18.5,66.875
3250176,pi,4,0.3014,0.4484,18.6,62.4
3250176,mppi,4,0.3016,0.4629,18.875,47.625
3500032,pi,4,0.3026,0.4436,18.8,59.6
3500032,mppi,4,0.3037,0.4539,19.0,48.25
3750144,pi,4,0.3198,0.4316,20.0,50.4
3750144,mppi,4,0.3124,0.4314,19.625,55.75
4000000,pi,4,0.3024,0.4474,18.6,57.8
4000000,mppi,4,0.3049,0.4461,19.25,45.375
4250112,pi,4,0.3146,0.4534,19.2,49.4
4250112,mppi,4,0.3119,0.4593,18.625,50.75
4500224,pi,4,0.2946,0.4566,18.0,67.0
4500224,mppi,4,0.3126,0.4519,19.25,53.0
4750080,pi,4,0.3114,0.4498,19.0,43.8
4750080,mppi,4,0.2983,0.4267,18.875,57.875
5000192,pi,4,0.3094,0.4448,18.8,54.4
5000192,mppi,4,0.2931,0.4537,18.375,55.625
5250048,pi,4,0.3050,0.4554,18.4,49.8
5250048,mppi,4,0.2954,0.4676,18.5,43.625
5500160,pi,4,0.3230,0.4190,20.0,41.0
5500160,mppi,4,0.2716,0.3911,16.625,167.375
5750016,pi,4,0.3010,0.4554,18.2,50.8
5750016,mppi,4,0.3193,0.4546,19.125,43.5
6000128,pi,4,0.3030,0.4578,18.2,45.4
6000128,mppi,4,0.3101,0.4486,18.875,47.625
6250240,pi,4,0.2972,0.4682,17.6,59.2
6250240,mppi,4,0.2879,0.4771,18.125,54.25
