step,reward,eval_type,seed
250112,0.0,pi,2
250112,0.0,mppi,2
500224,0.0,pi,2
500224,0.0,mppi,2
750080,0.0,pi,2
750080,0.0,mppi,2
1000192,1.5,pi,2
1000192,0.0,mppi,2
1250048,0.0,pi,2
1250048,2.0,mppi,2
1500160,0.0,pi,2
1500160,2.0,mppi,2
1750016,3.4,pi,2
1750016,0.1,mppi,2
2000128,0.5,pi,2
2000128,1.1,mppi,2
2250240,3.8,pi,2
2250240,0.0,mppi,2
2500096,1.2,pi,2
2500096,8.6,mppi,2
2750208,1.1,pi,2
2750208,0.0,mppi,2
3000064,10.5,pi,2
3000064,0.0,mppi,2
3250176,7.2,pi,2
3250176,2.3,mppi,2
3500032,1.8,pi,2
3500032,75.6,mppi,2
3750144,103.1,pi,2
3750144,54.6,mppi,2
4000000,197.6,pi,2
4000000,196.1,mppi,2
4250112,212.8,pi,2
4250112,218.0,mppi,2
4500224,194.3,pi,2
4500224,214.5,mppi,2
4750080,161.8,pi,2
4750080,230.7,mppi,2
5000192,206.3,pi,2
5000192,226.6,mppi,2
5250048,207.8,pi,2
5250048,218.4,mppi,2
5500160,199.5,pi,2
5500160,226.8,mppi,2
5750016,215.5,pi,2
5750016,232.6,mppi,2
6000128,205.6,pi,2
6000128,225.0,mppi,2
6250240,220.4,pi,2
6250240,235.9,mppi,2
6500096,222.6,pi,2
6500096,227.2,mppi,2
6750208,210.0,pi,2
6750208,229.3,mppi,2
7000064,214.2,pi,2
7000064,247.6,mppi,2
7250176,219.1,pi,2
7250176,236.1,mppi,2
7500032,217.5,pi,2
7500032,247.3,mppi,2
7750144,217.2,pi,2
7750144,224.8,mppi,2
8000000,219.6,pi,2
8000000,244.8,mppi,2
8250112,221.3,pi,2
8250112,232.3,mppi,2
8500224,213.8,pi,2
8500224,227.3,mppi,2
8750080,222.6,pi,2
8750080,240.9,mppi,2
9000192,223.4,pi,2
9000192,234.2,mppi,2
9250048,217.6,pi,2
9250048,240.7,mppi,2
9500160,225.9,pi,2
9500160,232.4,mppi,2
9750016,217.7,pi,2
9750016,245.2,mppi,2
10000128,224.2,pi,2
10000128,246.5,mppi,2
