step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,2,0.0448,0.1750,9.2,433.8
250112,mppi,2,0.0553,0.1651,8.5,525.25
500224,pi,2,0.0960,0.2682,15.0,442.0
500224,mppi,2,0.0847,0.2029,9.5,537.375
750080,pi,2,0.0804,0.1768,7.6,617.4
750080,mppi,2,0.0829,0.2014,9.375,533.375
1000192,pi,2,0.1888,0.3678,14.2,232.2
1000192,mppi,2,0.0514,0.1190,4.625,762.0
1250048,pi,2,0.1058,0.1930,6.8,616.6
1250048,mppi,2,0.2045,0.4154,14.625,177.875
1500160,pi,2,0.0880,0.2034,6.4,624.4
1500160,mppi,2,0.1811,0.3636,12.875,293.75
1750016,pi,2,0.1604,0.2810,11.0,438.0
1750016,mppi,2,0.1601,0.2836,11.375,413.375
2000128,pi,2,0.1024,0.1906,6.8,626.6
2000128,mppi,2,0.2770,0.4914,17.375,62.375
2250240,pi,2,0.2110,0.3660,14.4,254.8
2250240,mppi,2,0.2422,0.3984,16.5,166.0
2500096,pi,2,0.1144,0.1902,6.8,617.4
2500096,mppi,2,0.2740,0.4956,16.5,56.125
2750208,pi,2,0.2668,0.4564,18.0,68.4
2750208,mppi,2,0.2836,0.4676,18.0,48.625
3000064,pi,2,0.1604,0.2714,10.8,441.4
3000064,mppi,2,0.2597,0.4383,18.5,65.75
3250176,pi,2,0.2072,0.3992,13.4,237.8
3250176,mppi,2,0.2219,0.5126,15.25,70.75
3500032,pi,2,0.2562,0.4414,16.8,91.4
3500032,mppi,2,0.2744,0.4416,18.875,54.875
3750144,pi,2,0.2712,0.4928,17.0,48.2
3750144,mppi,2,0.2373,0.4229,15.0,170.375
4000000,pi,2,0.2680,0.4790,17.2,68.6
4000000,mppi,2,0.2756,0.4889,16.5,64.625
4250112,pi,2,0.2814,0.4694,17.0,60.4
4250112,mppi,2,0.2830,0.4706,17.625,45.5
4500224,pi,2,0.2812,0.4456,18.4,61.0
4500224,mppi,2,0.2461,0.4120,15.25,177.125
4750080,pi,2,0.2752,0.4462,18.6,59.6
4750080,mppi,2,0.2801,0.4734,17.25,68.375
5000192,pi,2,0.2666,0.4464,18.4,59.4
5000192,mppi,2,0.2860,0.4800,18.0,54.0
5250048,pi,2,0.2838,0.4760,17.4,57.6
5250048,mppi,2,0.2826,0.4576,17.625,70.25
5500160,pi,2,0.2770,0.4662,17.4,58.6
5500160,mppi,2,0.2481,0.4236,15.0,167.375
5750016,pi,2,0.2628,0.4456,18.0,59.8
5750016,mppi,2,0.2870,0.4691,17.125,68.0
6000128,pi,2,0.2260,0.3824,13.8,246.0
6000128,mppi,2,0.2885,0.4594,18.25,51.75
6250240,pi,2,0.2236,0.3668,15.0,242.2
6250240,mppi,2,0.2874,0.4639,18.375,52.875
6500096,pi,2,0.2900,0.4732,17.6,47.4
6500096,mppi,2,0.2870,0.4699,17.75,55.375
6750208,pi,2,0.2768,0.4446,18.2,67.6
6750208,mppi,2,0.2884,0.4711,18.25,57.375
7000064,pi,2,0.2814,0.4600,17.8,60.8
7000064,mppi,2,0.2514,0.4213,15.75,165.0
7250176,pi,2,0.2830,0.4586,18.0,58.4
7250176,mppi,2,0.2889,0.4821,17.125,62.25
7500032,pi,2,0.2834,0.4780,17.0,59.2
7500032,mppi,2,0.2930,0.4911,17.25,49.625
7750144,pi,2,0.2786,0.4958,17.4,54.6
7750144,mppi,2,0.2821,0.4967,17.25,53.625
8000000,pi,2,0.2750,0.4684,17.4,58.6
8000000,mppi,2,0.2881,0.4856,17.375,51.75
8250112,pi,2,0.2850,0.4476,18.6,52.8
8250112,mppi,2,0.2965,0.4891,17.375,53.75
8500224,pi,2,0.2896,0.4848,17.8,37.8
8500224,mppi,2,0.2818,0.4794,17.125,66.5
8750080,pi,2,0.2836,0.4716,17.6,55.2
8750080,mppi,2,0.2919,0.4659,18.125,66.125
9000192,pi,2,0.2852,0.4782,17.0,51.2
9000192,mppi,2,0.2901,0.4935,17.5,47.5
9250048,pi,2,0.2842,0.4710,17.2,54.6
9250048,mppi,2,0.3024,0.5020,17.625,46.125
9500160,pi,2,0.2890,0.4786,17.6,59.6
9500160,mppi,2,0.2928,0.4943,17.125,59.375
9750016,pi,2,0.2794,0.4820,17.2,49.6
9750016,mppi,2,0.2876,0.4900,17.5,48.0
10000128,pi,2,0.2930,0.4636,17.4,63.2
10000128,mppi,2,0.2960,0.4762,17.5,62.5
