step,reward,eval_type,seed
250112,32.6,pi,4
250112,17.3,mppi,4
500224,47.2,pi,4
500224,21.8,mppi,4
750080,191.5,pi,4
750080,201.5,mppi,4
1000192,208.6,pi,4
1000192,129.0,mppi,4
1250048,78.3,pi,4
1250048,53.2,mppi,4
1500160,210.0,pi,4
1500160,210.8,mppi,4
1750016,208.1,pi,4
1750016,226.8,mppi,4
2000128,211.9,pi,4
2000128,222.1,mppi,4
2250240,211.0,pi,4
2250240,219.0,mppi,4
2500096,208.7,pi,4
2500096,193.9,mppi,4
2750208,210.8,pi,4
2750208,220.9,mppi,4
3000064,211.0,pi,4
3000064,223.7,mppi,4
3250176,212.9,pi,4
3250176,221.6,mppi,4
3500032,212.8,pi,4
3500032,222.5,mppi,4
3750144,208.6,pi,4
3750144,225.5,mppi,4
4000000,214.5,pi,4
4000000,224.4,mppi,4
4250112,215.3,pi,4
4250112,232.3,mppi,4
