step,reward,eval_type,seed
250112,6.4,pi,5
250112,0.2,mppi,5
500224,111.8,pi,5
500224,106.3,mppi,5
750080,196.4,pi,5
750080,263.6,mppi,5
1000192,301.1,pi,5
1000192,428.5,mppi,5
1250048,368.8,pi,5
1250048,464.3,mppi,5
1500160,417.3,pi,5
1500160,465.5,mppi,5
1750016,461.7,pi,5
1750016,441.1,mppi,5
2000128,407.2,pi,5
2000128,505.3,mppi,5
2250240,504.4,pi,5
2250240,461.2,mppi,5
2500096,505.1,pi,5
2500096,530.6,mppi,5
2750208,482.9,pi,5
2750208,543.3,mppi,5
3000064,486.4,pi,5
3000064,532.2,mppi,5
3250176,523.3,pi,5
3250176,544.4,mppi,5
3500032,489.1,pi,5
3500032,528.1,mppi,5
3750144,506.2,pi,5
3750144,536.4,mppi,5
4000000,538.8,pi,5
4000000,562.1,mppi,5
