step,reward,eval_type,seed
250112,0.0,pi,5
250112,0.1,mppi,5
500224,0.0,pi,5
500224,2.1,mppi,5
750080,0.0,pi,5
750080,0.0,mppi,5
1000192,2.9,pi,5
1000192,2.0,mppi,5
1250048,39.0,pi,5
1250048,57.1,mppi,5
1500160,20.1,pi,5
1500160,33.0,mppi,5
1750016,13.6,pi,5
1750016,132.7,mppi,5
2000128,204.6,pi,5
2000128,215.3,mppi,5
2250240,121.0,pi,5
2250240,109.6,mppi,5
2500096,217.2,pi,5
2500096,238.1,mppi,5
2750208,223.0,pi,5
2750208,242.7,mppi,5
3000064,249.9,pi,5
3000064,268.0,mppi,5
3250176,251.7,pi,5
3250176,245.7,mppi,5
3500032,255.0,pi,5
3500032,267.7,mppi,5
3750144,280.2,pi,5
3750144,283.7,mppi,5
4000000,276.4,pi,5
4000000,287.5,mppi,5
4250112,266.4,pi,5
4250112,249.3,mppi,5
4500224,274.4,pi,5
4500224,292.0,mppi,5
4750080,279.5,pi,5
4750080,284.5,mppi,5
5000192,270.7,pi,5
5000192,296.6,mppi,5
5250048,264.6,pi,5
5250048,299.1,mppi,5
5500160,278.3,pi,5
5500160,296.7,mppi,5
5750016,270.3,pi,5
5750016,290.9,mppi,5
6000128,263.0,pi,5
6000128,302.5,mppi,5
6250240,271.0,pi,5
6250240,308.2,mppi,5
6500096,273.3,pi,5
6500096,301.3,mppi,5
6750208,281.2,pi,5
6750208,298.9,mppi,5
7000064,285.6,pi,5
7000064,300.8,mppi,5
7250176,285.5,pi,5
7250176,285.3,mppi,5
7500032,250.9,pi,5
7500032,223.9,mppi,5
7750144,280.9,pi,5
7750144,300.8,mppi,5
8000000,284.7,pi,5
8000000,311.0,mppi,5
8250112,288.3,pi,5
8250112,299.6,mppi,5
8500224,283.4,pi,5
8500224,307.7,mppi,5
8750080,289.7,pi,5
8750080,301.1,mppi,5
9000192,283.3,pi,5
9000192,300.2,mppi,5
9250048,275.9,pi,5
9250048,299.4,mppi,5
9500160,289.8,pi,5
9500160,302.5,mppi,5
9750016,277.2,pi,5
9750016,301.1,mppi,5
10000128,285.9,pi,5
10000128,301.6,mppi,5
