step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,3,0.0000,0.9884,1.0,1000.0
50176,mppi,3,0.0000,0.9975,0.5,1000.0
100096,pi,3,0.0000,0.9856,0.4,1000.0
100096,mppi,3,0.0000,0.9625,2.125,1000.0
150016,pi,3,0.0000,0.4936,15.0,1000.0
150016,mppi,3,0.0000,0.2111,9.75,1000.0
200192,pi,3,0.0000,0.0000,0.0,1000.0
200192,mppi,3,0.0000,0.0076,2.25,1000.0
250112,pi,3,0.0000,0.2314,2.8,1000.0
250112,mppi,3,0.0000,0.4317,12.0,1000.0
300032,pi,3,0.0262,0.9990,0.0,435.4
300032,mppi,3,0.0080,0.9974,0.0,628.5
350208,pi,3,0.1372,0.9990,0.0,186.8
350208,mppi,3,0.2328,0.9943,0.25,100.875
400128,pi,3,0.6222,0.9990,0.0,127.2
400128,mppi,3,0.2269,0.7245,14.625,327.375
450048,pi,3,0.3520,0.8126,5.6,120.2
450048,mppi,3,0.5813,0.9404,2.5,91.375
500224,pi,3,0.6862,0.9990,0.0,117.4
500224,mppi,3,0.1318,0.9990,0.0,109.125
550144,pi,3,0.3338,0.9990,0.0,115.8
550144,mppi,3,0.6769,0.9990,0.0,101.375
600064,pi,3,0.0000,0.0000,0.0,1000.0
600064,mppi,3,0.0000,0.0034,0.5,1000.0
650240,pi,3,0.9102,0.9900,0.0,85.8
650240,mppi,3,0.8985,0.9969,0.625,85.125
700160,pi,3,0.3446,0.8676,9.6,91.4
700160,mppi,3,0.8508,0.9990,0.0,100.875
750080,pi,3,0.7616,0.9356,1.8,71.8
750080,mppi,3,0.8016,0.9990,0.0,71.5
800000,pi,3,0.9356,0.9990,0.0,64.2
800000,mppi,3,0.9209,0.9990,0.0,71.0
850176,pi,3,0.9344,0.9990,0.0,64.6
850176,mppi,3,0.9300,0.9990,0.0,65.5
900096,pi,3,0.9264,0.9990,0.0,69.8
900096,mppi,3,0.9324,0.9990,0.0,67.125
950016,pi,3,0.7956,0.9786,0.4,204.4
950016,mppi,3,0.8223,0.9848,0.0,177.625
1000192,pi,3,0.9330,0.9990,0.0,65.2
1000192,mppi,3,0.9129,0.9990,0.0,87.125
