step,reward,eval_type,seed
50176,108.6,pi,11
50176,110.7,mppi,11
100096,251.2,pi,11
100096,236.8,mppi,11
150016,3.3,pi,11
150016,11.9,mppi,11
200192,286.5,pi,11
200192,180.5,mppi,11
250112,530.8,pi,11
250112,522.7,mppi,11
300032,322.5,pi,11
300032,504.6,mppi,11
350208,461.5,pi,11
350208,440.7,mppi,11
400128,562.3,pi,11
400128,590.0,mppi,11
450048,595.4,pi,11
450048,607.3,mppi,11
500224,661.6,pi,11
500224,640.5,mppi,11
550144,595.2,pi,11
550144,574.3,mppi,11
600064,637.6,pi,11
600064,617.3,mppi,11
650240,666.1,pi,11
650240,667.3,mppi,11
700160,685.3,pi,11
700160,605.9,mppi,11
750080,673.1,pi,11
750080,481.8,mppi,11
800000,663.9,pi,11
800000,649.5,mppi,11
850176,693.1,pi,11
850176,670.7,mppi,11
900096,681.8,pi,11
900096,661.0,mppi,11
950016,696.6,pi,11
950016,689.1,mppi,11
1000192,716.3,pi,11
1000192,691.6,mppi,11
