step,reward,eval_type,seed
50176,569.6,pi,8
50176,600.6,mppi,8
100096,947.4,pi,8
100096,984.8,mppi,8
150016,967.8,pi,8
150016,856.2,mppi,8
200192,962.2,pi,8
200192,986.8,mppi,8
250112,984.0,pi,8
250112,981.8,mppi,8
300032,975.4,pi,8
300032,982.9,mppi,8
350208,970.8,pi,8
350208,980.1,mppi,8
400128,974.6,pi,8
400128,983.4,mppi,8
450048,969.4,pi,8
450048,986.8,mppi,8
500224,978.4,pi,8
500224,983.4,mppi,8
550144,973.4,pi,8
550144,984.6,mppi,8
600064,975.4,pi,8
600064,984.5,mppi,8
650240,970.4,pi,8
650240,863.6,mppi,8
700160,977.0,pi,8
700160,986.9,mppi,8
750080,984.6,pi,8
750080,859.1,mppi,8
800000,976.0,pi,8
800000,985.4,mppi,8
850176,974.2,pi,8
850176,987.0,mppi,8
900096,982.0,pi,8
900096,986.2,mppi,8
950016,975.6,pi,8
950016,986.1,mppi,8
1000192,978.2,pi,8
1000192,986.2,mppi,8
