step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,3,0.3630,0.3630,39.6,17.8
50176,mppi,3,0.3494,0.3494,43.5,16.0
100096,pi,3,0.8864,0.8864,59.4,10.8
100096,mppi,3,0.9563,0.9563,15.25,9.875
150016,pi,3,0.9822,0.9822,3.4,13.0
150016,mppi,3,0.9829,0.9829,2.25,13.5
200192,pi,3,0.9856,0.9856,0.6,13.4
200192,mppi,3,0.9858,0.9858,0.875,11.5
250112,pi,3,0.9786,0.9786,10.0,10.0
250112,mppi,3,0.9880,0.9880,2.0,9.75
300032,pi,3,0.9756,0.9756,7.0,13.4
300032,mppi,3,0.9592,0.9592,26.375,11.0
350208,pi,3,0.9800,0.9800,6.2,11.6
350208,mppi,3,0.9722,0.9722,13.625,14.125
400128,pi,3,0.9434,0.9434,12.4,15.2
400128,mppi,3,0.9875,0.9875,2.125,9.125
450048,pi,3,0.9834,0.9834,3.6,9.0
450048,mppi,3,0.9861,0.9861,2.875,8.625
500224,pi,3,0.9834,0.9834,0.8,12.8
500224,mppi,3,0.9848,0.9848,2.375,12.125
550144,pi,3,0.9666,0.9666,13.0,13.2
550144,mppi,3,0.9761,0.9761,12.75,8.5
600064,pi,3,0.9602,0.9602,14.6,10.2
600064,mppi,3,0.9886,0.9886,0.5,10.875
650240,pi,3,0.9556,0.9556,17.4,7.4
650240,mppi,3,0.9889,0.9889,0.5,9.25
700160,pi,3,0.9814,0.9814,5.2,10.2
700160,mppi,3,0.9892,0.9892,0.0,10.75
750080,pi,3,0.9754,0.9754,10.8,12.0
750080,mppi,3,0.9888,0.9888,0.25,10.375
800000,pi,3,0.9840,0.9840,5.4,7.4
800000,mppi,3,0.9879,0.9879,1.25,10.875
850176,pi,3,0.9882,0.9882,1.6,7.6
850176,mppi,3,0.9895,0.9895,1.125,9.375
900096,pi,3,0.9820,0.9820,1.4,14.6
900096,mppi,3,0.9870,0.9870,1.75,10.125
950016,pi,3,0.9832,0.9832,3.4,11.0
950016,mppi,3,0.9860,0.9860,0.75,13.25
1000192,pi,3,0.9852,0.9852,1.8,12.0
1000192,mppi,3,0.9868,0.9868,0.875,10.25
