step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,21,0.2592,0.2592,31.2,24.4
50176,mppi,21,0.2693,0.2693,32.333333333333336,12.666666666666666
100096,pi,21,0.3990,0.3990,49.2,16.0
100096,mppi,21,0.4317,0.4317,48.0,7.666666666666667
150016,pi,21,0.5964,0.5964,77.8,13.8
150016,mppi,21,0.7110,0.7110,55.666666666666664,14.666666666666666
200192,pi,21,0.7284,0.7284,62.6,15.4
200192,mppi,21,0.8247,0.8247,42.666666666666664,14.0
250112,pi,21,0.8562,0.8562,66.2,13.2
250112,mppi,21,0.9483,0.9483,17.666666666666668,18.0
300032,pi,21,0.8424,0.8424,98.6,13.4
300032,mppi,21,0.8597,0.8597,85.66666666666667,7.333333333333333
350208,pi,21,0.7708,0.7708,62.0,13.4
350208,mppi,21,0.9280,0.9280,34.0,9.333333333333334
400128,pi,21,0.8958,0.8958,24.0,10.4
400128,mppi,21,0.9583,0.9583,15.333333333333334,15.0
450048,pi,21,0.8496,0.8496,85.6,10.4
450048,mppi,21,0.9070,0.9070,44.0,11.333333333333334
500224,pi,21,0.9636,0.9636,17.0,10.8
500224,mppi,21,0.9713,0.9713,14.0,12.333333333333334
