step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,12,0.0164,0.0570,2.2,606.8
250112,mppi,12,0.0143,0.0478,1.25,660.0
500224,pi,12,0.2686,0.3250,11.2,98.0
500224,mppi,12,0.3492,0.4333,14.0,89.5
750080,pi,12,0.1350,0.1926,5.8,638.4
750080,mppi,12,0.1794,0.2296,6.375,538.0
1000192,pi,12,0.4024,0.4174,14.2,66.6
1000192,mppi,12,0.4088,0.4384,13.5,55.5
1250048,pi,12,0.4314,0.4618,14.4,43.0
1250048,mppi,12,0.4460,0.4756,13.875,55.125
1500160,pi,12,0.4408,0.5020,13.0,61.4
1500160,mppi,12,0.4470,0.4996,12.625,76.0
1750016,pi,12,0.4562,0.5420,12.2,51.8
1750016,mppi,12,0.4612,0.5284,13.125,58.375
2000128,pi,12,0.4628,0.5456,12.4,53.0
2000128,mppi,12,0.4641,0.5171,13.375,45.0
2250240,pi,12,0.4356,0.5320,11.8,76.4
2250240,mppi,12,0.4623,0.5331,12.625,55.75
2500096,pi,12,0.4250,0.5636,11.6,66.2
2500096,mppi,12,0.4682,0.5405,12.0,62.375
2750208,pi,12,0.4090,0.4678,13.2,75.6
2750208,mppi,12,0.4634,0.5109,13.0,56.125
3000064,pi,12,0.4334,0.5256,12.0,60.4
3000064,mppi,12,0.4731,0.5272,13.0,57.875
3250176,pi,12,0.4176,0.5738,11.4,60.8
3250176,mppi,12,0.4718,0.5656,11.875,52.625
3500032,pi,12,0.4448,0.5676,11.4,63.0
3500032,mppi,12,0.4633,0.5431,12.75,55.75
3750144,pi,12,0.4340,0.5166,12.2,61.4
3750144,mppi,12,0.4198,0.4755,11.375,164.625
4000000,pi,12,0.4540,0.5218,12.2,55.0
4000000,mppi,12,0.4733,0.5335,12.875,45.5
4250112,pi,12,0.4274,0.5154,11.8,78.2
4250112,mppi,12,0.4677,0.5539,12.25,54.5
4500224,pi,12,0.4332,0.5308,12.0,56.4
4500224,mppi,12,0.4559,0.5564,12.0,53.5
4750080,pi,12,0.4378,0.5026,13.2,43.0
4750080,mppi,12,0.4651,0.5152,13.0,56.75
5000192,pi,12,0.3606,0.4112,10.4,240.8
5000192,mppi,12,0.4742,0.5384,13.0,54.0
5250048,pi,12,0.4414,0.5200,12.2,54.2
5250048,mppi,12,0.4680,0.5370,12.625,52.125
5500160,pi,12,0.4538,0.5400,12.2,55.6
5500160,mppi,12,0.4748,0.5344,12.625,53.0
5750016,pi,12,0.4588,0.5310,12.6,54.8
5750016,mppi,12,0.4679,0.5316,12.5,47.25
6000128,pi,12,0.4440,0.5190,12.0,67.2
6000128,mppi,12,0.4716,0.5336,12.5,48.625
6250240,pi,12,0.3694,0.4352,10.0,239.8
6250240,mppi,12,0.4844,0.5448,12.0,63.625
6500096,pi,12,0.4186,0.4950,12.6,70.4
6500096,mppi,12,0.4470,0.5106,12.125,54.625
6750208,pi,12,0.4492,0.5304,12.8,45.8
6750208,mppi,12,0.4556,0.5096,12.0,67.125
7000064,pi,12,0.4298,0.5550,11.4,56.6
7000064,mppi,12,0.4751,0.5682,11.375,50.75
7250176,pi,12,0.3682,0.4328,10.2,237.6
7250176,mppi,12,0.4685,0.5390,12.0,58.75
7500032,pi,12,0.4340,0.5534,11.8,56.8
7500032,mppi,12,0.4794,0.5463,12.0,64.75
7750144,pi,12,0.4490,0.5526,11.2,60.6
7750144,mppi,12,0.4640,0.5460,12.375,47.125
8000000,pi,12,0.3644,0.4352,9.6,240.4
8000000,mppi,12,0.4690,0.5609,11.75,56.25
8250112,pi,12,0.4534,0.5404,12.0,56.4
8250112,mppi,12,0.4564,0.5669,11.125,57.375
8500224,pi,12,0.4516,0.5216,12.2,63.6
8500224,mppi,12,0.4780,0.5443,12.5,46.625
8750080,pi,12,0.4590,0.5396,12.4,59.0
8750080,mppi,12,0.4788,0.5526,12.375,51.125
9000192,pi,12,0.4418,0.5356,12.2,52.8
9000192,mppi,12,0.4866,0.5519,12.125,55.5
9250048,pi,12,0.4438,0.5252,12.4,68.8
9250048,mppi,12,0.4710,0.5290,13.25,50.125
9500160,pi,12,0.4594,0.5488,11.8,60.4
9500160,mppi,12,0.4785,0.5566,12.125,49.75
9750016,pi,12,0.3598,0.4396,9.0,255.4
9750016,mppi,12,0.4619,0.5400,12.25,52.5
10000128,pi,12,0.4452,0.5198,12.4,50.6
10000128,mppi,12,0.4804,0.5463,12.0,53.25
