step,reward,eval_type,seed
250112,0.0,pi,2
250112,1.3,mppi,2
500224,29.7,pi,2
500224,58.2,mppi,2
750080,181.1,pi,2
750080,142.6,mppi,2
1000192,218.6,pi,2
1000192,218.0,mppi,2
1250048,203.7,pi,2
1250048,229.7,mppi,2
1500160,243.0,pi,2
1500160,222.0,mppi,2
1750016,213.5,pi,2
1750016,263.6,mppi,2
2000128,255.5,pi,2
2000128,276.9,mppi,2
2000128,-1.0,restart_1,2
2250240,255.3,pi,2
2250240,273.5,mppi,2
2500096,246.8,pi,2
2500096,227.5,mppi,2
2750208,226.2,pi,2
2750208,302.3,mppi,2
3000064,297.6,pi,2
3000064,305.1,mppi,2
3250176,314.3,pi,2
3250176,287.5,mppi,2
3500032,305.5,pi,2
3500032,174.4,mppi,2
3750144,285.8,pi,2
3750144,256.2,mppi,2
4000000,272.7,pi,2
4000000,256.0,mppi,2
4250112,318.8,pi,2
4250112,323.2,mppi,2
4250112,-1.0,restart_2,2
4500224,257.5,pi,2
4500224,284.6,mppi,2
4750080,282.9,pi,2
4750080,313.9,mppi,2
5000192,225.7,pi,2
5000192,286.7,mppi,2
5250048,285.5,pi,2
5250048,307.1,mppi,2
5500160,303.9,pi,2
5500160,313.0,mppi,2
5750016,226.5,pi,2
5750016,248.2,mppi,2
6000128,383.5,pi,2
6000128,263.7,mppi,2
6250240,361.4,pi,2
6250240,392.4,mppi,2
6250240,-1.0,restart_3,2
6500096,335.4,pi,2
6500096,418.1,mppi,2
6750208,0.0,pi,2
6750208,123.5,mppi,2
7000064,376.6,pi,2
7000064,393.6,mppi,2
7250176,275.6,pi,2
7250176,342.3,mppi,2
7500032,383.3,pi,2
7500032,403.9,mppi,2
7750144,407.9,pi,2
7750144,407.1,mppi,2
8000000,293.5,pi,2
8000000,439.9,mppi,2
8250112,472.3,pi,2
8250112,397.3,mppi,2
8500224,291.8,pi,2
8500224,467.3,mppi,2
8750080,412.5,pi,2
8750080,333.1,mppi,2
9000192,338.3,pi,2
9000192,409.5,mppi,2
9250048,352.4,pi,2
9250048,477.9,mppi,2
9500160,465.7,pi,2
9500160,490.4,mppi,2
9750016,395.1,pi,2
9750016,375.9,mppi,2
10000128,403.8,pi,2
10000128,402.7,mppi,2
