step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,2,0.0018,1.0000,0.0,800.0
50176,mppi,2,0.2003,1.0000,0.0,333.3333333333333
100096,pi,2,0.9942,1.0000,0.0,5.8
100096,mppi,2,0.9977,1.0000,0.0,2.3333333333333335
150016,pi,2,0.9914,1.0000,0.0,3.2
150016,mppi,2,0.9983,1.0000,0.0,1.6666666666666667
200192,pi,2,0.9984,1.0000,0.0,1.6
200192,mppi,2,0.9807,1.0000,0.0,7.333333333333333
250112,pi,2,0.9960,1.0000,0.0,4.0
250112,mppi,2,0.9983,1.0000,0.0,1.6666666666666667
300032,pi,2,0.1526,1.0000,0.0,4.2
300032,mppi,2,0.6120,1.0000,0.0,4.0
350208,pi,2,0.9946,1.0000,0.0,5.4
350208,mppi,2,0.7020,0.9887,1.0,0.6666666666666666
400128,pi,2,0.9946,1.0000,0.0,5.4
400128,mppi,2,0.9950,1.0000,0.0,5.0
450048,pi,2,0.3030,0.9936,2.4,17.2
450048,mppi,2,0.6580,1.0000,0.0,16.0
500224,pi,2,0.7970,1.0000,0.0,203.0
500224,mppi,2,0.3147,1.0000,0.0,666.6666666666666
