step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,0,0.1460,1.0000,0.0,6.0
50176,mppi,0,0.4600,1.0000,0.0,3.3333333333333335
100096,pi,0,0.5922,1.0000,0.0,2.2
100096,mppi,0,0.9777,1.0000,0.0,0.0
150016,pi,0,0.9902,1.0000,0.0,0.6
150016,mppi,0,0.6850,1.0000,0.0,6.333333333333333
200192,pi,0,0.9956,1.0000,0.0,4.4
200192,mppi,0,0.8380,1.0000,0.0,7.0
250112,pi,0,0.9808,1.0000,0.0,9.2
250112,mppi,0,0.9133,1.0000,0.0,8.333333333333334
300032,pi,0,0.0538,1.0000,0.0,240.8
300032,mppi,0,0.2160,0.7907,15.666666666666666,679.3333333333334
350208,pi,0,0.9672,1.0000,0.0,9.0
350208,mppi,0,0.6957,1.0000,0.0,7.333333333333333
400128,pi,0,0.9078,1.0000,0.0,6.6
400128,mppi,0,0.9763,1.0000,0.0,2.6666666666666665
450048,pi,0,0.9484,0.9998,0.2,4.4
450048,mppi,0,0.8770,1.0000,0.0,11.333333333333334
500224,pi,0,0.9258,1.0000,0.0,20.6
500224,mppi,0,0.9277,0.9993,0.6666666666666666,49.666666666666664
