step,reward,eval_type,seed
50176,585.7,pi,3
50176,1246.6,mppi,3
50176,1625.0,jumpy,3
100096,2023.0,pi,3
100096,1389.2,mppi,3
100096,1661.7,jumpy,3
150016,2405.5,pi,3
150016,1831.4,mppi,3
150016,2782.0,jumpy,3
200192,1882.3,pi,3
200192,1760.3,mppi,3
200192,2576.5,jumpy,3
250112,2624.6,pi,3
250112,1450.9,mppi,3
250112,2596.3,jumpy,3
300032,2346.0,pi,3
300032,1784.7,mppi,3
300032,2582.7,jumpy,3
350208,2392.8,pi,3
350208,2086.7,mppi,3
350208,3040.4,jumpy,3
400128,2764.8,pi,3
400128,2488.4,mppi,3
400128,3359.3,jumpy,3
450048,2296.2,pi,3
450048,2563.7,mppi,3
450048,2854.6,jumpy,3
500224,1998.0,pi,3
500224,1875.9,mppi,3
500224,2920.6,jumpy,3
