step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,0,0.2004,0.8690,11.8,0.0
50176,mppi,0,0.1557,0.8717,9.0,0.0
100096,pi,0,0.6194,0.9978,2.0,0.0
100096,mppi,0,0.6377,0.9987,0.6666666666666666,0.0
150016,pi,0,0.9986,1.0000,0.0,0.0
150016,mppi,0,0.6213,0.9853,1.6666666666666667,0.0
200192,pi,0,0.8195,1.0000,0.0,0.0
200192,mppi,0,0.7293,1.0000,0.0,0.0
250112,pi,0,0.9996,1.0000,0.0,0.0
250112,mppi,0,0.6983,1.0000,0.0,0.0
300032,pi,0,0.9708,1.0000,0.0,0.0
300032,mppi,0,0.7051,0.9633,3.6666666666666665,0.0
350208,pi,0,0.9270,1.0000,0.0,0.0
350208,mppi,0,0.8270,1.0000,0.0,0.0
400128,pi,0,0.7908,1.0000,0.0,0.0
400128,mppi,0,0.4410,1.0000,0.0,0.0
450048,pi,0,0.8564,1.0000,0.0,0.0
450048,mppi,0,0.8673,1.0000,0.0,0.0
500224,pi,0,1.0000,1.0000,0.0,0.0
500224,mppi,0,0.9990,1.0000,0.0,0.0
