step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,2,0.0000,0.9932,3.6,1000.0
50176,mppi,2,0.0000,0.9777,3.6666666666666665,1000.0
100096,pi,2,0.4442,0.9970,0.6,117.2
100096,mppi,2,0.4517,0.9863,1.0,97.66666666666667
150016,pi,2,0.9376,0.9972,0.2,62.4
150016,mppi,2,0.9170,0.9920,1.0,82.33333333333333
200192,pi,2,0.9354,0.9948,0.6,64.6
200192,mppi,2,0.9247,0.9983,0.6666666666666666,73.0
250112,pi,2,0.9508,0.9956,0.4,49.2
250112,mppi,2,0.9203,1.0000,0.0,79.66666666666667
300032,pi,2,0.9286,0.9946,0.6,71.2
300032,mppi,2,0.9107,0.9963,0.6666666666666666,74.66666666666667
350208,pi,2,0.9250,0.9944,1.0,75.0
350208,mppi,2,0.9307,0.9943,0.6666666666666666,68.66666666666667
400128,pi,2,0.9130,0.9912,0.8,74.8
400128,mppi,2,0.9463,0.9827,0.3333333333333333,53.666666666666664
450048,pi,2,0.9390,0.9884,0.8,61.0
450048,mppi,2,0.9397,0.9933,0.6666666666666666,60.0
500224,pi,2,0.9342,0.9910,0.8,65.8
500224,mppi,2,0.6243,0.9937,0.3333333333333333,375.6666666666667
