step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,0,0.0000,0.9952,1.2,1000.0
50176,mppi,0,0.0000,0.6580,7.666666666666667,1000.0
100096,pi,0,0.0000,0.9336,3.4,1000.0
100096,mppi,0,0.0000,0.9883,0.3333333333333333,1000.0
150016,pi,0,0.0000,0.9990,0.0,1000.0
150016,mppi,0,0.0000,0.9990,0.0,1000.0
200192,pi,0,0.0000,0.9990,0.0,1000.0
200192,mppi,0,0.0000,0.9990,0.0,1000.0
250112,pi,0,0.0000,0.9990,0.0,1000.0
250112,mppi,0,0.0000,0.9990,0.0,1000.0
300032,pi,0,0.4462,0.9300,0.4,207.2
300032,mppi,0,0.0000,0.9990,0.0,1000.0
350208,pi,0,0.0000,0.0214,9.2,1000.0
350208,mppi,0,0.0000,0.4827,39.333333333333336,1000.0
400128,pi,0,0.8708,0.9990,0.0,109.4
400128,mppi,0,0.8197,0.9990,0.0,159.33333333333334
450048,pi,0,0.8410,0.9990,0.0,108.2
450048,mppi,0,0.8817,0.9990,0.0,103.0
500224,pi,0,0.5192,0.7740,1.0,145.2
500224,mppi,0,0.1083,0.9447,4.666666666666667,451.6666666666667
